ontolex.LexicalSense	lexicog.usageExample	lexinfo.note	rdfs.comment	rdfs.label.en	rdfs.label.pt	skos.definition.pt	skos.note
lexicalSense:n02715.sg01.s01		Cic.			Pateozinho	 Pateozinho 	
lexicalSense:n02716.sg01.s01		Plin.			Armolez	 Armolez , herva 	
lexicalSense:n02717.sg01.s01		Plaut.			Negrura	 Negrura 	
lexicalSense:n02718.sg01.s01		Cic.			Pateo	 Pateo , terreiro nas casas 	
lexicalSense:n02718.sg01.s02					Adro dos Templos	 Adro dos Templos 	
lexicalSense:n02718.sg01.s03		Liv.			Arêa	 Arêa , ou lugar , em que esteve , ou se póde edificar a casa 	
lexicalSense:n02718.sg01.s04		Virg. no pl.			Casas magnificas	 Casas magnificas 	
lexicalSense:n02719.sg01.s01		Cic.			Atrocidade	 Atrocidade , crueldade 	
lexicalSense:n02720.sg01.s01		Cic.			Cruelmente	 Cruelmente 	
lexicalSense:n02721.sg01.s01		Plin.			Partes do corpo	 Partes do corpo , a que não chega a nutrição 	
lexicalSense:n02722.sg01.s01		Plin.			Os que se não nutrem	 Os que se não nutrem 	
lexicalSense:n02723.sg01.s01		Cels.			Enfermidade	 Enfermidade , que sécca o corpo , e faz que o alimento não produza effeito 	
lexicalSense:n02724.sg01.s01		Gell.			Negrura	 Negrura 	
lexicalSense:n02725.sg01.s01		Cic.			Atroz	 Atroz , cruel 	
lexicalSense:n02725.sg01.s02		Virg.			Constante	 Constante , inflexivel 	
lexicalSense:n02727.sg01.s01		Varr.			Toque	 Toque 	
lexicalSense:n02728.sg01.s01		Hor.			[Francolim	 [ Francolim , ave . ] 	
lexicalSense:n02729.sg01.s01		Mart.			Francolim	 Francolim , ave 	
lexicalSense:n02730.sg01.s01		Cic.			Com tudo isso	 Com tudo isso 	
lexicalSense:n02731.sg01.s01		Justin.			Contaminar	 Contaminar , manchar tocando 	
lexicalSense:n02733.sg01.s01		Juv.			Cabanas	 Cabanas , choupanas 	
lexicalSense:n02734.sg01.s01		Plin.			Especie de gafanhoto muito pequeno sem azas	 Especie de gafanhoto muito pequeno sem azas 	
lexicalSense:n02735.sg01.s01		Ter.			Opportunamente	 Opportunamente , a tempo 	
lexicalSense:n02737.sg01.s01		Sen.			Accommodar	 Accommodar , preparar , apparelhar 	
lexicalSense:n02738.sg01.s01		Cic.			Attender	 Attender , considerar , ouvir com attenção 	
lexicalSense:n02740.sg01.s01		Cic.			Attentamente	 Attentamente 	
lexicalSense:n02741.sg01.s01		Cic.			Attenção	 Attenção 	
lexicalSense:n02742.sg01.s01		Cic.			Tentar	 Tentar , emprender , accommetter 	
lexicalSense:n02743.sg01.s01		Cic.			Attento	 Attento , applicado 	
lexicalSense:n02744.sg01.s01		Cic.			Tenuemente	 Tenuemente 	
lexicalSense:n02745.sg01.s01		Ad Her.			Attenuação	 Attenuação , fraqueza , diminuição 	
lexicalSense:n02747.sg01.s01		Lucr.			Attenuar	 Attenuar , adelgaçar , diminuir 	
lexicalSense:n02748.sg01.s01		Virg.			Esfregar	 Esfregar , roçar , gastar esfregando 	
lexicalSense:n02748.sg01.s02		Col.			Quebrar	 Quebrar 	
lexicalSense:n02749.sg01.s01		(fulmina) * Sen.			Raios	 Raios , que sahem da terra 	
lexicalSense:n02750.sg01.s01		Macr.			Attestação	 Attestação 	
lexicalSense:n02751.sg01.s01		* Plin. Jun.			Testemunha	 Testemunha , o que attesta 	
lexicalSense:n02753.sg01.s01		Cic.			Attestar	 Attestar , dar testemunho de alguma cousa 	
lexicalSense:n02754.sg01.s01		Cic.			Ajuntar tecendo	 Ajuntar tecendo , unir a outra cousa 	
lexicalSense:n02755.sg01.s01		Mart.			Rouxinol	 Rouxinol , passaro 	
lexicalSense:n02755.sg01.s02					Andorinha	 Andorinha , passaro 	
lexicalSense:n02755.sg01.s03		Sen. Tr.			Mulher Attica ou de Athenas	 Mulher Attica ou de Athenas 	
lexicalSense:n02756.sg01.s01		Cic.			Á maneira de Attica	 Á maneira de Attica , ou dos Athenienses 	
lexicalSense:n02757.sg01.s01		Quinct.			Atticismo	 Atticismo , frase , ou modo de fallar proprio dos Atticos 	
lexicalSense:n02758.sg01.s01		Plaut.			Fallar polidamente	 Fallar polidamente , como os Atticos 	
lexicalSense:n02760.sg01.s01		* Plaut.			Tocar levemente	 Tocar levemente 	
lexicalSense:n02761.sg01.s01		Plin.			Certo peixe do rio Pó	 Certo peixe do rio Pó 	
lexicalSense:n02762.sg01.s01		Tac.			Deter	 Deter , demorar 	
lexicalSense:n02763.sg01.s01		Cic.			Pertencer	 Pertencer , importar 	
lexicalSense:n02764.sg01.s01		Cic.			Tocar levemente	 Tocar levemente 	
lexicalSense:n02765.sg01.s01		Hor.			Levantar	 Levantar 	
lexicalSense:n02766.sg01.s01		Plaut.			Tosquear	 Tosquear 	Diz-se dos homens, e arvores.
lexicalSense:n02767.sg01.s01		Plin.			Com assombro grande	 Com assombro grande 	
lexicalSense:n02768.sg01.s01		Virg.			Attonito	 Attonito , pasmado 	
lexicalSense:n02768.sg01.s02		Cels.			Assombrado do raio	 Assombrado do raio 	
lexicalSense:n02769.sg01.s01		Ovid.			Surprender	 Surprender , aturdir , atroar 	
lexicalSense:n02772.sg01.s01		Cic.			Attrahir com difficuldade	 Attrahir com difficuldade , trazer para si 	
lexicalSense:n02773.sg01.s01		Sen.			[Apalpamento	 [ Apalpamento , tocamento . ] 	
lexicalSense:n02774.sg01.s01		Cic.			Apalpamento	 Apalpamento , tocamento 	
lexicalSense:n02776.sg01.s01		Cic.			Apalpar	 Apalpar , manuziar , enxovalhar , tocar a miude com a mão 	
lexicalSense:n02776.sg01.s02		Tac.			Emprender	 Emprender 	
lexicalSense:n02777.sg01.s01		Stat.			Tremer á voz de alguem	 Tremer á voz de alguem , ou ouvindo alguem 	
lexicalSense:n02778.sg01.s01		Plaut.			Caminhar com passo tremulo	 Caminhar com passo tremulo 	
lexicalSense:n02779.sg01.s01		Cic.			Attribuir	 Attribuir , assignar , imputar 	
lexicalSense:n02780.sg01.s01		Cic.			Consignação de dinheiro	 Consignação de dinheiro 	
lexicalSense:n02780.sg01.s02		No plur.			Circumstancia	 Circumstancia , attributos da pessoa , ou do facto 	
lexicalSense:n02781.sg01.s01		Varr.			Consignação	 Consignação , dinheiro consignado 	
lexicalSense:n02781.sg01.s02		Cic.			Attributo	 Attributo , circumstancia 	
lexicalSense:n02784.sg01.s01		Plin.			Esfregadura	 Esfregadura , roçadura de huma cousa com outra 	
lexicalSense:n02787.sg01.s01		Gell.			Gago	 Gago , tartamudo 	
lexicalSense:n02788.sg01.s01		Ter.			Oh! Voz de quem está consternado	 Oh ! Voz de quem está consternado , e tambem de quem impõe silencio 	
lexicalSense:n02789.sg01.s01		Cic.			[Com avareza.]	 [ Com avareza . ] 	
lexicalSense:n02790.sg01.s01		Plaut.			Com avareza	 Com avareza 	
lexicalSense:n02791.sg01.s01		Cic.			[Avareza.]	 [ Avareza . ] 	
lexicalSense:n02792.sg01.s01		Lucr.			Avareza	 Avareza 	
lexicalSense:n02793.sg01.s01		Cic.			Avarento	 Avarento 	
lexicalSense:n02794.sg01.s01		Ter.			Passarinheiro	 Passarinheiro , caçador de aves 	
lexicalSense:n02795.sg01.s01		Plaut.			Crescença na medida	 Crescença na medida , ou no pezo 	
lexicalSense:n02796.sg01.s01		Lucr.			Que faz crescer	 Que faz crescer 	
lexicalSense:n02797.sg01.s01		Cic.			Leilão	 Leilão , almoeda 	
lexicalSense:n02798.sg01.s01		Ulp.			Rol do que se vende em almoeda	 Rol do que se vende em almoeda 	
lexicalSense:n02799.sg01.s01		Cic.			Pertencente á almoeda	 Pertencente á almoeda 	
lexicalSense:n02800.sg01.s01		Cic.			Vender em almoeda	 Vender em almoeda 	
lexicalSense:n02801.sg01.s01		Tac.			[Accrescentar a miude.]	 [ Accrescentar a miude . ] 	
lexicalSense:n02802.sg01.s01		Plaut.			Accrescentar a miude	 Accrescentar a miude 	
lexicalSense:n02803.sg01.s01					Autor	 Autor , autora 	
lexicalSense:n02804.sg01.s01		Cic.			Premio	 Premio , remuneração , paga , principalmente dos gladiadores 	
lexicalSense:n02804.sg01.s02					Obrigação	 Obrigação , que resulta da paga 	
lexicalSense:n02806.sg01.s01		Cic.			Autoridade	 Autoridade , credito , estima , reputação 	
lexicalSense:n02806.sg01.s02		No plur.			Determinações do Senado	 Determinações do Senado , principalmente as que o povo desapprova 	
lexicalSense:n02807.sg01.s01		Quinct.			Obrigar	 Obrigar , mediando hum premio , ou recompensa , principalmente a servir de gladiador 	
lexicalSense:n02809.sg01.s01		Liv.			Accrescentamento	 Accrescentamento 	
lexicalSense:n02810.sg01.s01		Quinct. Declam.			Caça das aves	 Caça das aves 	
lexicalSense:n02811.sg01.s01		Plin.			Pertencente á caça das aves	 Pertencente á caça das aves 	
lexicalSense:n02813.sg01.s01		Cic.			Caça das aves	 Caça das aves 	
lexicalSense:n02813.sg01.s02		Sen.			O que se apanha na caça	 O que se apanha na caça 	
lexicalSense:n02813.sg01.s03		Ter.			Cavillação	 Cavillação , modo de enganar 	
lexicalSense:n02814.sg01.s01		Plaut.			[Caçar passaros.]	 [ Caçar passaros . ] 	
lexicalSense:n02815.sg01.s01		Varr.			Caçar passaros	 Caçar passaros 	
lexicalSense:n02815.sg01.s02		Cic.			Pertender incessantemente	 Pertender incessantemente 	
lexicalSense:n02816.sg01.s01		Cic.			Ousadia	 Ousadia , atrevimento 	Diz-se tanto em boa, como em má parte.
lexicalSense:n02817.sg01.s01					[Atrevidamente.]	 [ Atrevidamente . ] 	
lexicalSense:n02818.sg01.s01		Cic.			Atrevidamente	 Atrevidamente 	
lexicalSense:n02819.sg01.s01		Gell.			Hum pouco atrevido	 Hum pouco atrevido 	
lexicalSense:n02820.sg01.s01		Cic.			[Ousado	 [ Ousado , atrevido , temerario . ] 	
lexicalSense:n02821.sg01.s01					Ousado	 Ousado , atrevido , temerario 	
lexicalSense:n02821.sg01.s02					Intrepido	 Intrepido , resoluto , destemido 	
lexicalSense:n02822.sg01.s01		Ulp.			Atrevidamente	 Atrevidamente 	
lexicalSense:n02823.sg01.s01		Plin.			Atrevimento	 Atrevimento 	
lexicalSense:n02824.sg01.s01		Cic.			Ousar	 Ousar , atrever - se , arriscar - se 	
lexicalSense:n02825.sg01.s01		Cic.			Attenção	 Attenção , silencio para escutar 	
lexicalSense:n02826.sg01.s01		Cic.			Ouvir	 Ouvir , escutar 	
lexicalSense:n02826.sg01.s02					Obedecer	 Obedecer 	
lexicalSense:n02826.sg01.s03		Ter.			Perceber	 Perceber 	
lexicalSense:n02827.sg01.s01		Cic.			Acto de ouvir	 Acto de ouvir 	
lexicalSense:n02827.sg01.s02					Nova	 Nova , fama , voz commua 	
lexicalSense:n02828.sg01.s01		Gell.			Acto de ouvir por breve espaço	 Acto de ouvir por breve espaço 	
lexicalSense:n02829.sg01.s01		Cic.			Ouvinte	 Ouvinte 	
lexicalSense:n02829.sg01.s02					Discipulo	 Discipulo 	
lexicalSense:n02830.sg01.s01		Quinct.			Lugar em que se ouve	 Lugar em que se ouve 	
lexicalSense:n02830.sg01.s02		Plin. Jun.			Auditorio	 Auditorio , assemblea de ouvintes 	
lexicalSense:n02830.sg01.s03		Quinct.			Escola	 Escola , lugar em que se ensina 	
lexicalSense:n02830.sg01.s04		Paul. Ict.			Tribunal do Juiz	 Tribunal do Juiz 	
lexicalSense:n02831.sg01.s01		Cic.			Sentido de ouvir	 Sentido de ouvir 	
lexicalSense:n02831.sg01.s02					Acto de ouvir	 Acto de ouvir 	
lexicalSense:n02833.sg01.s01		Cic.			Bons dias	 Bons dias , boas tardes , Deos vos salve , & c 	
lexicalSense:n02835.sg01.s01		Plaut.			Levar de hum lugar para outro	 Levar de hum lugar para outro 	
lexicalSense:n02836.sg01.s01		Plin.			Avellã	 Avellã , fructo 	
lexicalSense:n02837.sg01.s01		Cic.			Arrancar	 Arrancar 	
lexicalSense:n02838.sg01.s01		Virg.			Avêa	 Avêa , herva 	
lexicalSense:n02838.sg01.s02					Frauta	 Frauta , ou gaita de palha de avêa 	
lexicalSense:n02839.sg01.s01		Plin.			Feito de avêa	 Feito de avêa 	
lexicalSense:n02840.sg01.s01		Plin.			Que folga de estar na avêa	 Que folga de estar na avêa 	
lexicalSense:n02841.sg01.s01		Cic.			Desejar	 Desejar 	
lexicalSense:n02843.sg01.s01		Ovid.			[Do lago Averno	 [ Do lago Averno , ou infernal . ] 	
lexicalSense:n02844.sg01.s01		Virg.			Do lago Averno	 Do lago Averno , ou infernal 	
lexicalSense:n02845.sg01.s01		Virg.			Averno	 Averno , lago da Campania 	
lexicalSense:n02845.sg01.s02					Inferno	 Inferno , em os Poetas 	
lexicalSense:n02845.sg01.s03		Val. Flac.			Plutão	 Plutão , Deos do Inferno 	
lexicalSense:n02846.sg01.s01		Lucil. apud Non.			[Affastar	 [ Affastar , remover . ] 	
lexicalSense:n02847.sg01.s01		Cic.			Affastar	 Affastar , remover 	
lexicalSense:n02848.sg01.s01		Lucr.			Abominavel	 Abominavel , execrando 	
lexicalSense:n02849.sg01.s01		Quinct.			Aversão	 Aversão 	
lexicalSense:n02851.sg01.s01		Hirt.			Acção de virar para outra parte	 Acção de virar para outra parte 	
lexicalSense:n02851.sg01.s02		Quinct.			Certa fig. de Rhet	 Certa fig . de Rhet 	
lexicalSense:n02851.sg01.s03		Ulp.			Compra	 Compra , venda , arrendamento por junto , v . g . de todo o vinho , de toda huma Ilha , & c 	
lexicalSense:n02852.sg01.s01		Cic.			Voltar o rosto com aversão	 Voltar o rosto com aversão , abominar 	
lexicalSense:n02853.sg01.s01		Cic.			Que voltou as costas	 Que voltou as costas 	
lexicalSense:n02853.sg01.s02					Contrario	 Contrario , inimigo opposto 	
lexicalSense:n02853.sg01.s99	usageExample:n02853.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)			
lexicalSense:n02854.sg01.s01		Cic.			Apartar	 Apartar , voltar para outra parte 	
lexicalSense:n02854.sg01.s99	usageExample:n02854.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)			
lexicalSense:n02855.sg01.s01		Cic.			Tirar	 Tirar , arrebatar , roubar 	
lexicalSense:n02856.sg01.s01		Cic.			Fugir	 Fugir 	
lexicalSense:n02857.sg01.s01		Cic.			Augmentar	 Augmentar 	
lexicalSense:n02857.sg01.s02		Lucr.			Augmentar-se	 Augmentar - se 	
lexicalSense:n02858.sg01.s01		Cic.			Augmentar-se	 Augmentar - se , crescer 	
lexicalSense:n02859.sg01.s01		* Enn. apud Non.			Augmentar	 Augmentar 	
lexicalSense:n02860.sg01.s01		Plin.			Certa pedra preciosa	 Certa pedra preciosa 	
lexicalSense:n02861.sg01.s01		Lucr.			[Augmento.]	 [ Augmento . ] 	
lexicalSense:n02862.sg01.s01		Plin.			Augmento	 Augmento 	
lexicalSense:n02863.sg01.s01					Agoureiro	 Agoureiro , ou agoureira , adivinhador 	
lexicalSense:n02864.sg01.s01		Tac.			Lugar alto	 Lugar alto , em que se tomavão os agouros 	
lexicalSense:n02864.sg01.s02		Sen.			Insignia de agoureiro	 Insignia de agoureiro 	
lexicalSense:n02865.sg01.s01		Cic.			Pertencente ao agoureiro	 Pertencente ao agoureiro 	
lexicalSense:n02866.sg01.s01		Cic.			Adivinhação por agouro	 Adivinhação por agouro 	
lexicalSense:n02867.sg01.s01		Liv.			Depois de tomados os agouros	 Depois de tomados os agouros 	
lexicalSense:n02869.sg01.s01		Cic.			Dignidade	 Dignidade , ou emprego de agoureiro 	
lexicalSense:n02870.sg01.s01		Cic.			Agouro	 Agouro , presagio por meio das aves 	
lexicalSense:n02870.sg01.s02		Virg.			Sciencia dos agoureiros	 Sciencia dos agoureiros 	
lexicalSense:n02871.sg01.s01		Cic.			Pertencente ao agouro	 Pertencente ao agouro 	
lexicalSense:n02872.sg01.s01		Virg.			[Augurar	 [ Augurar , adivinhar por meio das aves . ] 	
lexicalSense:n02873.sg01.s01		Cic.			Augurar	 Augurar , adivinhar por meio das aves 	
lexicalSense:n02873.sg01.s02					Conjecturar	 Conjecturar 	
lexicalSense:n02874.sg01.s01		Quinct.			Tenda do General	 Tenda do General 	
lexicalSense:n02875.sg01.s01		Cic.			Magnificamente	 Magnificamente , religiosamente 	
lexicalSense:n02876.sg01.s01		Cic.			Augusto	 Augusto , veneravel , magestoso , magnifico 	
lexicalSense:n02877.sg01.s01		Sil. Ital.			Lugares sem caminhos	 Lugares sem caminhos , ou por onde se não póde passar 	
lexicalSense:n02878.sg01.s01		Plaut.			Avó	 Avó 	
lexicalSense:n02878.sg02.s02		Col.			Certa herva	 Certa herva 	
lexicalSense:n02879.sg01.s01		Virg.			Bosque	 Bosque , ou lugar retirado , onde ha muitas aves 	
lexicalSense:n02879.sg01.s02		Cic.			Gaiola	 Gaiola , capoeira , ou qualquer lugar , em que se crião aves 	
lexicalSense:n02880.sg01.s01		Col.			O que tem cuidado das aves	 O que tem cuidado das aves 	
lexicalSense:n02881.sg01.s01		Gell.			Passarinho	 Passarinho 	
lexicalSense:n02882.sg01.s01		Cic.			Com vontade	 Com vontade 	
lexicalSense:n02883.sg01.s01		Cic.			Desejo	 Desejo , cobiça 	
lexicalSense:n02883.sg01.s02		Plin.			Vontade de comer	 Vontade de comer 	
lexicalSense:n02884.sg01.s01		Cic.			Desejoso	 Desejoso , cobiçoso 	
lexicalSense:n02885.sg01.s01		Cic.			Ave	 Ave , passaro 	
lexicalSense:n02886.sg01.s01		Cic.			Dos avós	 Dos avós , ou antepassados 	
lexicalSense:n02887.sg01.s01		Virg.			Inaccessivel	 Inaccessivel , por onde não ha caminho 	
lexicalSense:n02887.sg01.s02		Lucr.			Desencaminhado	 Desencaminhado , que vai fóra do caminho 	
lexicalSense:n02888.sg01.s01		Cic.			Palacio	 Palacio , paço 	
lexicalSense:n02888.sg01.s02		Hor.			Pateo nas casas	 Pateo nas casas 	
lexicalSense:n02888.sg01.s03		Prop.			Curral de gado	 Curral de gado 	
lexicalSense:n02888.sg01.s04		Virg.			Cortiço de abelhas	 Cortiço de abelhas 	
lexicalSense:n02888.sg02.s05		Plaut.			Panella	 Panella 	
lexicalSense:n02889.sg01.s01		Hor.			[Pannos de armar	 [ Pannos de armar , tapessaria . ] 	
lexicalSense:n02890.sg01.s01		Cic.			Pannos de armar	 Pannos de armar , tapessaria 	
lexicalSense:n02891.sg01.s01		Varr.			Testo da panella	 Testo da panella 	
lexicalSense:n02892.sg01.s01		* Cic.			Gaiteiro	 Gaiteiro 	
lexicalSense:n02893.sg01.s01		Plin.			Proprio para a gaita	 Proprio para a gaita 	
lexicalSense:n02894.sg01.s01		Suet.			Da Corte	 Da Corte , ou palacio 	
lexicalSense:n02895.sg01.s01		Suet.			Cortezão	 Cortezão 	
lexicalSense:n02896.sg01.s01		Cic.			Gaiteiro	 Gaiteiro 	
lexicalSense:n02897.sg01.s01		Plin. Jun.			[Recreação	 [ Recreação , divertimento , distracção dos cuidados . ] 	
lexicalSense:n02898.sg01.s01		Cic.			Recreação	 Recreação , divertimento , distracção dos cuidados 	
lexicalSense:n02900.sg01.s01		Cic.			Chamar para outra parte	 Chamar para outra parte , divertir , distrahir 	
lexicalSense:n02901.sg01.s01		Cai. Ict.			Voar para outra parte	 Voar para outra parte 	
lexicalSense:n02901.sg01.s02		Cic.			Desaparecer	 Desaparecer , passar velozmente 	
lexicalSense:n02902.sg01.s01		Cic.			Viração	 Viração , vento suave 	
lexicalSense:n02902.sg01.s02		Lucr.			Cheiro	 Cheiro 	
lexicalSense:n02902.sg01.s99	usageExample:n02902.sg01.s99.u01, usageExample:n02902.sg01.s99.u02		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)			
lexicalSense:n02903.sg01.s01		* Plin.			Instrumento para alimpar ouro	 Instrumento para alimpar ouro 	
lexicalSense:n02904.sg01.s01		Tac.			Mina de ouro	 Mina de ouro 	
lexicalSense:n02905.sg01.s01		Plin.			De ouro	 De ouro 	
lexicalSense:n02906.sg01.s01		Mart.			Dourada	 Dourada , peixe 	
lexicalSense:n02907.sg01.s01		* Quinct.			Douradura	 Douradura 	
lexicalSense:n02908.sg01.s01		Cic.			Dourado	 Dourado 	
lexicalSense:n02909.sg01.s01		Varr.			De côr de ouro	 De côr de ouro 	
lexicalSense:n02910.sg01.s01		Mart.			Pequena moeda de ouro	 Pequena moeda de ouro 	
lexicalSense:n02911.sg01.s01		Varr.			Tomar côr de ouro	 Tomar côr de ouro 	
lexicalSense:n02912.sg01.s01		Cic.			De ouro	 De ouro 	
lexicalSense:n02912.sg01.s02		Virg.			Dourado	 Dourado , de côr de ouro 	
lexicalSense:n02912.sg01.s03					Excellente	 Excellente , admiravel 	
lexicalSense:n02913.sg01.s01		Tac.			Dinheiro de ouro	 Dinheiro de ouro 	
lexicalSense:n02915.sg01.s01		* Catul.			Orelhinha	 Orelhinha 	
lexicalSense:n02916.sg01.s01		Virg.			Que tem os cabellos louros	 Que tem os cabellos louros , ou côr de ouro 	
lexicalSense:n02917.sg01.s01		Cic.			Orelha	 Orelha 	
lexicalSense:n02918.sg01.s01		* Ulp.			Pertencente ás orelhas	 Pertencente ás orelhas 	
lexicalSense:n02919.sg01.s01		Cic.			Que produz ouro	 Que produz ouro 	
lexicalSense:n02920.sg01.s01		Cic.			Ourives	 Ourives 	
lexicalSense:n02921.sg01.s01		Plin.			Mina de ouro	 Mina de ouro 	
lexicalSense:n02922.sg01.s01		Plaut.			Ladrão de ouro	 Ladrão de ouro 	
lexicalSense:n02923.sg01.s01		Prop.			Cocheiro	 Cocheiro 	
lexicalSense:n02923.sg01.s02		Virg.			Lacaio	 Lacaio 	
lexicalSense:n02923.sg01.s03		Ovid.			Piloto	 Piloto 	
lexicalSense:n02923.sg01.s04		Cic.			Huma constellação celeste	 Huma constellação celeste 	
lexicalSense:n02924.sg01.s01		Suet.			Que governa o coche	 Que governa o coche 	
lexicalSense:n02925.sg01.s01		Suet.			O que tinha cuidado de exercitar os cocheiros nos espectaculos	 O que tinha cuidado de exercitar os cocheiros nos espectaculos 	
lexicalSense:n02926.sg01.s01		Suet.			Officio de cocheiro	 Officio de cocheiro 	
lexicalSense:n02927.sg01.s01		Val. Flac.			Que traz ouro	 Que traz ouro 	
lexicalSense:n02927.sg01.s99	usageExample:n02927.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)			
lexicalSense:n02928.sg01.s01		Apul.			Tericia	 Tericia 	
lexicalSense:n02929.sg01.s01		Plin.			[Governar o coche.]	 [ Governar o coche . ] 	
lexicalSense:n02930.sg01.s01		Varr. apud Non.			Governar o coche	 Governar o coche 	
lexicalSense:n02931.sg01.s01		Plin.			Ouropimente	 Ouropimente , genero de mineral 	
lexicalSense:n02932.sg01.s01		Cic.			Orelha	 Orelha , ouvido 	
lexicalSense:n02933.sg01.s01		Virg.			Orelhudo	 Orelhudo 	
lexicalSense:n02933.sg01.s02		Hor.			Que ouve	 Que ouve 	
lexicalSense:n02933.sg01.s99	usageExample:n02933.sg01.s99.u01, usageExample:n02933.sg01.s99.u02		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)			
lexicalSense:n02934.sg01.s01		Cic.			Aurora	 Aurora , alva , madrugada , primeira luz do dia 	
lexicalSense:n02934.sg01.s02		Ovid.			Oriente	 Oriente , nascente 	
lexicalSense:n02934.sg01.s99	usageExample:n02934.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)			
lexicalSense:n02936.sg01.s01		Cic.			Ouro	 Ouro 	
lexicalSense:n02936.sg01.s02					Moeda	 Moeda , dinheiro , riquezas , tudo o que he feito de ouro 	
lexicalSense:n02937.sg01.s01		Tac.			Acção de escutar	 Acção de escutar 	
lexicalSense:n02937.sg01.s02		Plaut.			Obsequio	 Obsequio , obediencia , submissão 	
lexicalSense:n02938.sg01.s01		Cic.			Escutador	 Escutador 	
lexicalSense:n02939.sg01.s01		Cic.			Escutar	 Escutar , ouvir attentamente 	
lexicalSense:n02939.sg01.s02		Ter.			Obedecer	 Obedecer 	
lexicalSense:n02941.sg01.s01					Agoureiro	 Agoureiro , adivinhador pelas aves 	
lexicalSense:n02941.sg01.s02		Hor.			Conductor	 Conductor 	
lexicalSense:n02941.sg01.s03					Protector	 Protector 	
lexicalSense:n02941.sg01.s04		Cic. no plur.			Padrinhos do casamento	 Padrinhos do casamento , os que assistião ao lavrar das escrituras , e dar dotes 	
lexicalSense:n02942.sg01.s01		Plin.			Pertencente ao agouro	 Pertencente ao agouro 	
lexicalSense:n02943.sg01.s01		Cic.			Havendo-se tomado os agouros	 Havendo - se tomado os agouros 	
lexicalSense:n02943.sg01.s02					Felizmente	 Felizmente 	
lexicalSense:n02946.sg01.s01		Cic.			Auspicio	 Auspicio , agouro 	Diz-se principalmente do que se toma das aves.
lexicalSense:n02946.sg01.s02		Liv.			Autoridade	 Autoridade , poder 	
lexicalSense:n02946.sg01.s03		Virg.			Liberdade	 Liberdade , livre vontade 	
lexicalSense:n02946.sg01.s04		Stat.			Principo de qualquer cousa	 Principo de qualquer cousa 	
lexicalSense:n02947.sg01.s01		Plaut.			[Tomar agouros.]	 [ Tomar agouros . ] 	
lexicalSense:n02948.sg01.s01		Cic.			Tomar agouros	 Tomar agouros 	
lexicalSense:n02948.sg01.s02		Ovid.			Começar	 Começar 	
lexicalSense:n02949.sg01.s01		Lucil. apud Non.			Vento Sul	 Vento Sul , quando sopra brandamente 	
lexicalSense:n02950.sg01.s01		Cic.			Vento Sul	 Vento Sul , vento do Meio dia 	
lexicalSense:n02951.sg01.s01		Cic.			Austeramente	 Austeramente 	
lexicalSense:n02952.sg01.s01		Plin. Jun.			Austeridade	 Austeridade , severidade 	
lexicalSense:n02953.sg01.s01		Cic.			Azedo	 Azedo , agro , aspero ao gosto 	
lexicalSense:n02953.sg01.s02		Cic.			Austéro	 Austéro , severo , desabrido , rigoroso 	
lexicalSense:n02954.sg01.s01		Cic.			Meridional	 Meridional , do Sul 	
lexicalSense:n02955.sg01.s01		Sil. Ital.			Que traz vento Sul	 Que traz vento Sul 	
lexicalSense:n02956.sg01.s01		Virg.			Austral	 Austral , do Sul 	
lexicalSense:n02957.sg01.s01		Virg.			[Atrevimento	 [ Atrevimento , ousadia , attentado , empreza atrevida . ] 	
lexicalSense:n02958.sg01.s01		Hirt. Bell. Alex. c. 43.			Atrevimento	 Atrevimento , ousadia , attentado , empreza atrevida 	
lexicalSense:n02960.sg01.s01		Cic.			Ou	 Ou 	
lexicalSense:n02961.sg01.s01		Cic.			Mas	 Mas , porém , pois 	
lexicalSense:n02962.sg01.s01		Ulp.			Authentico	 Authentico , que tem autoridade 	
lexicalSense:n02963.sg01.s01		Cic.			Genero de panella	 Genero de panella , em que com pouco lume se cozia o comer brevemente 	
lexicalSense:n02965.sg01.s01		Suet.			Escrito de proprio punho	 Escrito de proprio punho 	
lexicalSense:n02966.sg01.s01		Vitr.			Máquina	 Máquina , que se move per si 	
lexicalSense:n02967.sg01.s01		Ulp.			Pertencente ás máquinas	 Pertencente ás máquinas , que se movem per si 	
