ontolex.LexicalSense	lexicog.usageExample	lexinfo.note	rdfs.comment	rdfs.label.en	rdfs.label.pt	skos.definition.pt	skos.note
lexicalSense:n00038.sg01.s01		* Liv.			Fugir ou ausentar-se a cavallo	 Fugir ou ausentar - se a cavallo 	
lexicalSense:n00039.sg01.s01		Cic.			Desvio	 Desvio , apartamento 	
lexicalSense:n00040.sg01.s01		Cic.			Extraviar-se	 Extraviar - se , apartar - se ou desviar - se do caminho direito por erro 	O mais ordinario he accommodar-se em sent. metaf. a outras cousas, e particularmente ao animo.
lexicalSense:n00043.sg01.s01		Virg.			Faltar	 Faltar 	
lexicalSense:n00045.sg01.s01		Plin.			Cessar o Inverno	 Cessar o Inverno 	
lexicalSense:n00046.sg01.s01		Cic.			Ha tanto tempo	 Ha tanto tempo 	
lexicalSense:n00046.sg01.s02		Lucr.			Daqui	 Daqui , deste lugar 	
lexicalSense:n00047.sg01.s01		Cic.			Aborrecer	 Aborrecer , ter horror , aversão , repugnancia 	
lexicalSense:n00047.sg01.s02					Discordar	 Discordar , ser dissemelhante 	
lexicalSense:n00048.sg01.s01		Cic.			Vilmente	 Vilmente 	
lexicalSense:n00049.sg01.s01		Cic.			Abjecção	 Abjecção , vileza 	
lexicalSense:n00050.sg01.s01					Deixado	 Deixado , posto de parte 	
lexicalSense:n00050.sg01.s02					Abjecto	 Abjecto , vil , desprezivel 	
lexicalSense:n00051.sg01.s01		Enn. apud Cic.			De faia	 De faia 	
lexicalSense:n00052.sg01.s01		Cic.			Que se ausenta	 Que se ausenta 	
lexicalSense:n00053.sg01.s01		Virg.			Faia	 Faia , abeto ou abete , especie de pinheiro alvar , arvore 	
lexicalSense:n00054.sg01.s01		* Apul.			De faia	 De faia 	
lexicalSense:n00055.sg01.s01		Apul.			Iva-moscata	 Iva - moscata , herva 	
lexicalSense:n00056.sg01.s01		* Paul. Ict.			Ladrão de gado	 Ladrão de gado 	
lexicalSense:n00057.sg01.s01		Macer Ict.			Roubo de gado	 Roubo de gado 	
lexicalSense:n00058.sg01.s01		Ulp.			Ladrão de gado	 Ladrão de gado 	
