lexicog.LexicographicComponent	rdfs.label	lexinfo.note	lexicog.describes	skos.note
lexicogComponent:n28568.e02_comp	Fonseca’s subentry for 'Stipes'	l.	lexicalEntry:n28568.e02	
lexicogComponent:n28680.e02_comp	Fonseca’s subentry for '[Strix]'		lexicalEntry:n28680.e02	
lexicogComponent:n29011.e02_comp	Fonseca’s subentry for 'Subrostrarii'	l.	lexicalEntry:n29011.e02	
lexicogComponent:n29090.e10_comp	Fonseca’s subentry for '[Subter]'		lexicalEntry:n29090.e10	
lexicogComponent:n29216.e02_comp	Fonseca’s subentry for 'Sudis'	l.	lexicalEntry:n29216.e02	
lexicogComponent:n29346.e10_comp	Fonseca’s subentry for '[Super]'		lexicalEntry:n29346.e10	
lexicogComponent:n29829.e02_comp	Fonseca’s subentry for 'Taminia uva'	l.	lexicalEntry:n29829.e02	
lexicogComponent:n29967.e02_comp	Fonseca’s subentry for '[Tempus]'		lexicalEntry:n29967.e02	
lexicogComponent:n30019.e10_comp	Fonseca’s subentry for '[Tenus]'		lexicalEntry:n30019.e10	
lexicogComponent:n30065.e02_comp	Fonseca’s subentry for '[Terminalia]'	&	lexicalEntry:n30065.e02	
lexicogComponent:n30117.e02_comp	Fonseca’s subentry for 'Tesqua'	l.	lexicalEntry:n30117.e02	
lexicogComponent:n30218.e02_comp	Fonseca’s subentry for 'Theriace'	l.	lexicalEntry:n30218.e02	
lexicogComponent:n30281.e02_comp	Fonseca’s subentry for '[Tigris]'	l.	lexicalEntry:n30281.e02	
lexicogComponent:n30325.e02_comp	Fonseca’s subentry for 'Tocullio'	l.	lexicalEntry:n30325.e02	
lexicogComponent:n30443.e02_comp	Fonseca’s subentry for '[Totus]'		lexicalEntry:n30443.e02	
lexicogComponent:n30683.e02_comp	Fonseca’s subentry for 'Tribrachys'	&	lexicalEntry:n30683.e02	
lexicogComponent:n30887.e02_comp	Fonseca’s subentry for '[Truculen]tissime'	e	lexicalEntry:n30887.e02	
lexicogComponent:n31457.e10_comp	Fonseca’s subentry for '[Vernus]'		lexicalEntry:n31457.e10	
lexicogComponent:n31502.e02_comp	Fonseca’s subentry for '[Versum]'	ou	lexicalEntry:n31502.e02	
lexicogComponent:n31669.e10_comp	Fonseca’s subentry for '[Victrix]'		lexicalEntry:n31669.e10	
lexicogComponent:n31741.e02_comp	Fonseca’s subentry for '[Vinalia]'	l.	lexicalEntry:n31741.e02	
lexicogComponent:n31916.e10_comp	Fonseca’s subentry for 'Vitrum'		lexicalEntry:n31916.e10	
lexicogComponent:n31978.e10_comp	Fonseca’s subentry for '[Ultra]'		lexicalEntry:n31978.e10	
lexicogComponent:n32099.e02_comp	Fonseca’s subentry for '[Unio]'		lexicalEntry:n32099.e02	
lexicogComponent:n32269.e10_comp	Fonseca’s subentry for '[Usque]'		lexicalEntry:n32269.e10	
lexicogComponent:n32299.e10_comp	Fonseca’s subentry for '[Ut]'		lexicalEntry:n32299.e10	
lexicogComponent:n32314.e02_comp	Fonseca’s subentry for '[Uti]'		lexicalEntry:n32314.e02	
lexicogComponent:n32356.e02_comp	Fonseca’s subentry for '[Vulgus]'		lexicalEntry:n32356.e02	
