lexicog.LexicographicComponent	rdfs.label	lexinfo.note	lexicog.describes	skos.note
lexicogComponent:n05733.e02_comp	Fonseca’s subentry for '[Comparo]'		lexicalEntry:n05733.e02	
lexicogComponent:n06444.e02_comp	Fonseca’s subentry for 'Consequutus'		lexicalEntry:n06444.e02	
lexicogComponent:n06542.e02_comp	Fonseca’s subentry for '[Conspiro]'		lexicalEntry:n06542.e02	
lexicogComponent:n06580.e02_comp	Fonseca’s subentry for '[Consualia]'	l.	lexicalEntry:n06580.e02	
lexicogComponent:n06709.e10_comp	Fonseca’s subentry for '[Contra]'		lexicalEntry:n06709.e10	
lexicogComponent:n06838.e02_comp	Fonseca’s subentry for 'Convolvulus'	l.	lexicalEntry:n06838.e02	
lexicogComponent:n06870.e02_comp	Fonseca’s subentry for 'Coprias'	l.	lexicalEntry:n06870.e02	l.
lexicogComponent:n06900.e02_comp	Fonseca’s subentry for '[Coram]'	e	lexicalEntry:n06900.e02	
lexicogComponent:n06949.e02_comp	Fonseca’s subentry for '[Cornum]'		lexicalEntry:n06949.e02	
lexicogComponent:n07179.e02_comp	Fonseca’s subentry for '[Crevi]'	e	lexicalEntry:n07179.e02	
lexicogComponent:n07180.e02_comp	Fonseca’s subentry for '[Cretus]'		lexicalEntry:n07180.e02	
lexicogComponent:n07263.e02_comp	Fonseca’s subentry for 'Cruppellarii'	l.	lexicalEntry:n07263.e02	
lexicogComponent:n07267.e02_comp	Fonseca’s subentry for 'Crurifragus'	l.	lexicalEntry:n07267.e02	
lexicogComponent:n07337.e02_comp	Fonseca’s subentry for 'Cujuscumquemodi'	&	lexicalEntry:n07337.e02	
lexicogComponent:n07449.e10_comp	Fonseca’s subentry for 'Curculio'		lexicalEntry:n07449.e10	
lexicogComponent:n07498.e02_comp	Fonseca’s subentry for '[Custos]'		lexicalEntry:n07498.e02	
lexicogComponent:n07789.e02_comp	Fonseca’s subentry for 'Decrevi'		lexicalEntry:n07789.e02	
lexicogComponent:n07794.e02_comp	Fonseca’s subentry for 'Decumanus'		lexicalEntry:n07794.e02	
lexicogComponent:n07921.e02_comp	Fonseca’s subentry for '[Deformatio]'		lexicalEntry:n07921.e02	
lexicogComponent:n08270.e02_comp	Fonseca’s subentry for 'Depectus'		lexicalEntry:n08270.e02	
lexicogComponent:n08558.e02_comp	Fonseca’s subentry for '[Detestatio]'		lexicalEntry:n08558.e02	
lexicogComponent:n08712.e02_comp	Fonseca’s subentry for 'Diatribe'	l.	lexicalEntry:n08712.e02	
lexicogComponent:n08810.e02_comp	Fonseca’s subentry for '[Digitell]um'	l.	lexicalEntry:n08810.e02	
lexicogComponent:n09067.e02_comp	Fonseca’s subentry for 'Dispartitus'	&	lexicalEntry:n09067.e02	
lexicogComponent:n09178.e02_comp	Fonseca’s subentry for '[Dissitus]'		lexicalEntry:n09178.e02	
lexicogComponent:n09582.e02_comp	Fonseca’s subentry for 'Dynastes'	l.	lexicalEntry:n09582.e02	
lexicogComponent:n09644.e02_comp	Fonseca’s subentry for 'Echium'	l.	lexicalEntry:n09644.e02	
lexicogComponent:n09645.e02_comp	Fonseca’s subentry for 'Echium'	l.	lexicalEntry:n09645.e02	&
lexicogComponent:n09658.e02_comp	Fonseca’s subentry for '[Ec]qui'	l.	lexicalEntry:n09658.e02	&
lexicogComponent:n10300.e02_comp	Fonseca’s subentry for 'Epitoxitis'	l.	lexicalEntry:n10300.e02	
lexicogComponent:n10386.e02_comp	Fonseca’s subentry for 'Erinus'	l.	lexicalEntry:n10386.e02	
lexicogComponent:n10391.e02_comp	Fonseca’s subentry for '[Erisma]'		lexicalEntry:n10391.e02	
lexicogComponent:n10427.e02_comp	Fonseca’s subentry for '[Erudi]tissime'	e	lexicalEntry:n10427.e02	
lexicogComponent:n10474.e02_comp	Fonseca’s subentry for 'Esse'	e	lexicalEntry:n10474.e02	
lexicogComponent:n10490.e02_comp	Fonseca’s subentry for '[Et]'		lexicalEntry:n10490.e02	
lexicogComponent:n10549.e02_comp	Fonseca’s subentry for '[Eversus]'	e	lexicalEntry:n10549.e02	
lexicogComponent:n10557.e02_comp	Fonseca’s subentry for 'Evias'	l.	lexicalEntry:n10557.e02	
lexicogComponent:n10558.e02_comp	Fonseca’s subentry for 'Evius'	l.	lexicalEntry:n10558.e02	
lexicogComponent:n10580.e02_comp	Fonseca’s subentry for '[Evito]'		lexicalEntry:n10580.e02	
lexicogComponent:n10618.e02_comp	Fonseca’s subentry for '[Euripus]'		lexicalEntry:n10618.e02	
lexicogComponent:n10632.e02_comp	Fonseca’s subentry for 'Euzomos'	l.	lexicalEntry:n10632.e02	
lexicogComponent:n10705.e02_comp	Fonseca’s subentry for 'Exaturo'	&	lexicalEntry:n10705.e02	
lexicogComponent:n10768.e02_comp	Fonseca’s subentry for 'Excipulum'	l.	lexicalEntry:n10768.e02	
lexicogComponent:n10800.e02_comp	Fonseca’s subentry for '[Excretus]'	ou	lexicalEntry:n10800.e02	
lexicogComponent:n11039.e02_comp	Fonseca’s subentry for '[Expergo]'		lexicalEntry:n11039.e02	
lexicogComponent:n11346.e02_comp	Fonseca’s subentry for '[Extuli]'	e	lexicalEntry:n11346.e02	
lexicogComponent:n11605.e02_comp	Fonseca’s subentry for '[Fatuor]'		lexicalEntry:n11605.e02	
lexicogComponent:n11784.e02_comp	Fonseca’s subentry for '[Fic]us'	&	lexicalEntry:n11784.e02	
lexicogComponent:n11842.e02_comp	Fonseca’s subentry for 'Fimum'	l.	lexicalEntry:n11842.e02	
lexicogComponent:n11867.e02_comp	Fonseca’s subentry for 'Fiscellus'	l.	lexicalEntry:n11867.e02	
lexicogComponent:n11928.e02_comp	Fonseca’s subentry for 'Flammigo'	l.	lexicalEntry:n11928.e02	
lexicogComponent:n12276.e02_comp	Fonseca’s subentry for '[Frictus]'		lexicalEntry:n12276.e02	
lexicogComponent:n12375.e02_comp	Fonseca’s subentry for '[Fucus]'		lexicalEntry:n12375.e02	
lexicogComponent:n12429.e02_comp	Fonseca’s subentry for '[Fulsi]'	ou	lexicalEntry:n12429.e02	
lexicogComponent:n12522.e10_comp	Fonseca’s subentry for 'Furunculus'		lexicalEntry:n12522.e10	
lexicogComponent:n12793.e02_comp	Fonseca’s subentry for '[Gibber]'		lexicalEntry:n12793.e02	
lexicogComponent:n12807.e02_comp	Fonseca’s subentry for 'Gith'	l.	lexicalEntry:n12807.e02	
lexicogComponent:n12833.e02_comp	Fonseca’s subentry for 'Glanus'	l.	lexicalEntry:n12833.e02	
lexicogComponent:n13182.e02_comp	Fonseca’s subentry for 'Halietus'	l.	lexicalEntry:n13182.e02	
lexicogComponent:n13469.e02_comp	Fonseca’s subentry for 'Hillae'	l.	lexicalEntry:n13469.e02	
lexicogComponent:n13672.e02_comp	Fonseca’s subentry for 'hubertas'		lexicalEntry:n13672.e02	
lexicogComponent:n14032.e02_comp	Fonseca’s subentry for '[Illus]trissime'	e	lexicalEntry:n14032.e02	
