lexicog.LexicographicComponent	rdfs.label	lexinfo.note	lexicog.describes	skos.note
lexicogComponent:n02561.e02_comp	Cardoso’s subentry for 'barbaries'	siue	lexicalEntry:n02561.e02	
lexicogComponent:n02562.e02_comp	Cardoso’s subentry for 'barbitum'	&	lexicalEntry:n02562.e02	
lexicogComponent:n02770.e02_comp	Cardoso’s subentry for 'boarda'	siue	lexicalEntry:n02770.e02	
lexicogComponent:n02816.e02_comp	Cardoso’s subentry for 'botris'	vel	lexicalEntry:n02816.e02	
lexicogComponent:n02818.e02_comp	Cardoso’s subentry for 'botulus'	siue	lexicalEntry:n02818.e02	
lexicogComponent:n02906.e02_comp	Cardoso’s subentry for 'bura'	vel	lexicalEntry:n02906.e02	
lexicogComponent:n03017.e02_comp	Cardoso’s subentry for 'calcearium'	siue	lexicalEntry:n03017.e02	
lexicogComponent:n03045.e02_comp	Cardoso’s subentry for 'calesco'	siue	lexicalEntry:n03045.e02	
lexicogComponent:n03070.e02_comp	Cardoso’s subentry for 'callum'	vel	lexicalEntry:n03070.e02	
lexicogComponent:n03078.e02_comp	Cardoso’s subentry for 'caluesco'	siue	lexicalEntry:n03078.e02	
lexicogComponent:n03079.e02_comp	Cardoso’s subentry for 'caluities'	siue	lexicalEntry:n03079.e02	
lexicogComponent:n03086.e10_comp	Cardoso’s subentry for 'Calx'	ou	lexicalEntry:n03086.e10	
lexicogComponent:n03100.e02_comp	Cardoso’s subentry for 'cammarius'	siue	lexicalEntry:n03100.e02	
lexicogComponent:n03107.e02_comp	Cardoso’s subentry for 'canabum'	vel	lexicalEntry:n03107.e02	
lexicogComponent:n03123.e02_comp	Cardoso’s subentry for 'candesco'	siue	lexicalEntry:n03123.e02	
lexicogComponent:n03141.e02_comp	Cardoso’s subentry for 'canesco'	siue	lexicalEntry:n03141.e02	
lexicogComponent:n03248.e02_comp	Cardoso’s subentry for 'capus'	vel	lexicalEntry:n03248.e02	
lexicogComponent:n03272.e02_comp	Cardoso’s subentry for 'capsaces'	vel	lexicalEntry:n03272.e02	
lexicogComponent:n03287.e02_comp	Cardoso’s subentry for 'capis'	siue	lexicalEntry:n03287.e02	
lexicogComponent:n03297.e02_comp	Cardoso’s subentry for 'Carbasa'		lexicalEntry:n03297.e02	
lexicogComponent:n03359.e02_comp	Cardoso’s subentry for 'carrum'	vel	lexicalEntry:n03359.e02	
lexicogComponent:n03393.e02_comp	Cardoso’s subentry for 'casterium'	siue	lexicalEntry:n03393.e02	
lexicogComponent:n03461.e02_comp	Cardoso’s subentry for 'cauillum'	&	lexicalEntry:n03461.e02	
lexicogComponent:n03465.e02_comp	Cardoso’s subentry for 'cauillus'	siue	lexicalEntry:n03465.e02	
lexicogComponent:n03487.e02_comp	Cardoso’s subentry for 'caute'	siue	lexicalEntry:n03487.e02	
lexicogComponent:n03561.e02_comp	Cardoso’s subentry for 'centuplex'	siue	lexicalEntry:n03561.e02	
lexicogComponent:n03807.e02_comp	Cardoso’s subentry for 'cupressus'	aliàs	lexicalEntry:n03807.e02	
lexicogComponent:n03904.e02_comp	Cardoso’s subentry for 'claresco'	siue	lexicalEntry:n03904.e02	
lexicogComponent:n03914.e02_comp	Cardoso’s subentry for 'clatrum'	vel	lexicalEntry:n03914.e02	
lexicogComponent:n03977.e02_comp	Cardoso’s subentry for 'coacesco'	vel	lexicalEntry:n03977.e02	
lexicogComponent:n04047.e02_comp	Cardoso’s subentry for 'cognomentum'	siue	lexicalEntry:n04047.e02	
lexicogComponent:n04092.e02_comp	Cardoso’s subentry for 'collare'	siue	lexicalEntry:n04092.e02	
lexicogComponent:n04143.e02_comp	Cardoso’s subentry for 'colubra'	siue	lexicalEntry:n04143.e02	
lexicogComponent:n04145.e10_comp	Cardoso’s subentry for 'Colum'		lexicalEntry:n04145.e10	
lexicogComponent:n04156.e02_comp	Cardoso’s subentry for 'colus'	siue	lexicalEntry:n04156.e02	
lexicogComponent:n04235.e02_comp	Cardoso’s subentry for 'commode'	siue	lexicalEntry:n04235.e02	
lexicogComponent:n04257.e02_comp	Cardoso’s subentry for 'communicatio'	siue	lexicalEntry:n04257.e02	
lexicogComponent:n04274.e10_comp	Cardoso’s subentry for 'Comparo'		lexicalEntry:n04274.e10	
lexicogComponent:n04315.e02_comp	Cardoso’s subentry for 'comploratus'	vel	lexicalEntry:n04315.e02	
lexicogComponent:n04345.e02_comp	Cardoso’s subentry for 'compressus'	vel	lexicalEntry:n04345.e02	
lexicogComponent:n04353.e02_comp	Cardoso’s subentry for 'computresco'	siue	lexicalEntry:n04353.e02	
lexicogComponent:n04437.e02_comp	Cardoso’s subentry for 'concupisco'	vel	lexicalEntry:n04437.e02	
lexicogComponent:n04478.e02_comp	Cardoso’s subentry for 'promus'		lexicalEntry:n04478.e02	
lexicogComponent:n04570.e02_comp	Cardoso’s subentry for 'congrue'	siue	lexicalEntry:n04570.e02	
lexicogComponent:n04597.e02_comp	Cardoso’s subentry for 'conexio'	siue	lexicalEntry:n04597.e02	
lexicogComponent:n04775.e02_comp	Cardoso’s subentry for 'contemptio'	siue	lexicalEntry:n04775.e02	
lexicogComponent:n04797.e02_comp	Cardoso’s subentry for 'contextus'	vel	lexicalEntry:n04797.e02	
lexicogComponent:n04816.e02_comp	Cardoso’s subentry for 'continuatio'	vel	lexicalEntry:n04816.e02	
lexicogComponent:n04944.e10_comp	Cardoso’s subentry for 'Corneus'		lexicalEntry:n04944.e10	
lexicogComponent:n05110.e02_comp	Cardoso’s subentry for 'cristallum'	&	lexicalEntry:n05110.e02	
lexicogComponent:n05161.e10_comp	Cardoso’s subentry for 'Cucullus'		lexicalEntry:n05161.e10	
lexicogComponent:n05219.e02_comp	Cardoso’s subentry for 'cymatilis'	vel	lexicalEntry:n05219.e02	
lexicogComponent:n05235.e02_comp	Cardoso’s subentry for 'incunabula'	&	lexicalEntry:n05235.e02	
lexicogComponent:n05250.e02_comp	Cardoso’s subentry for 'cupiditas'	vel	lexicalEntry:n05250.e02	
lexicogComponent:n05259.e02_comp	Cardoso’s subentry for 'cuprinus'	vel	lexicalEntry:n05259.e02	
lexicogComponent:n05301.e02_comp	Cardoso’s subentry for 'curuitas'	siue	lexicalEntry:n05301.e02	
lexicogComponent:n05379.e02_comp	Cardoso’s subentry for 'defectio'	siue	lexicalEntry:n05379.e02	
lexicogComponent:n05482.e02_comp	Cardoso’s subentry for 'delectatio'	siue	lexicalEntry:n05482.e02	
lexicogComponent:n05501.e02_comp	Cardoso’s subentry for 'delitiae'	siue	lexicalEntry:n05501.e02	
lexicogComponent:n05522.e02_comp	Cardoso’s subentry for 'Delphinus'	aut	lexicalEntry:n05522.e02	
lexicogComponent:n05669.e02_comp	Cardoso’s subentry for 'descensus'	vel	lexicalEntry:n05669.e02	
lexicogComponent:n05828.e02_comp	Cardoso’s subentry for 'dextrocherium'	siue	lexicalEntry:n05828.e02	
lexicogComponent:n05846.e02_comp	Cardoso’s subentry for 'subdialis'	&	lexicalEntry:n05846.e02	
lexicogComponent:n06097.e02_comp	Cardoso’s subentry for 'disparilitas'	vel	lexicalEntry:n06097.e02	
lexicogComponent:n06098.e02_comp	Cardoso’s subentry for 'dispariliter'	siue	lexicalEntry:n06098.e02	
lexicogComponent:n06381.e02_comp	Cardoso’s subentry for 'dubium'	siue	lexicalEntry:n06381.e02	
lexicogComponent:n06399.e02_comp	Cardoso’s subentry for 'duellium'	vel	lexicalEntry:n06399.e02	
lexicogComponent:n06407.e02_comp	Cardoso’s subentry for 'dulcedo'	vel	lexicalEntry:n06407.e02	
lexicogComponent:n06451.e02_comp	Cardoso’s subentry for 'dureus'	vel	lexicalEntry:n06451.e02	
lexicogComponent:n06455.e02_comp	Cardoso’s subentry for 'durities'	vel	lexicalEntry:n06455.e02	
lexicogComponent:n06485.e02_comp	Cardoso’s subentry for 'ebriosus'	siue	lexicalEntry:n06485.e02	
lexicogComponent:n06572.e02_comp	Cardoso’s subentry for 'effloresco'	vel	lexicalEntry:n06572.e02	
lexicogComponent:n06610.e02_comp	Cardoso’s subentry for 'egressus'	siue	lexicalEntry:n06610.e02	
lexicogComponent:n06621.e02_comp	Cardoso’s subentry for 'eiulatus'	siue	lexicalEntry:n06621.e02	
lexicogComponent:n06630.e02_comp	Cardoso’s subentry for 'elanguesco'	siue	lexicalEntry:n06630.e02	
lexicogComponent:n06647.e02_comp	Cardoso’s subentry for 'elephantus'	&	lexicalEntry:n06647.e02	
lexicogComponent:n06686.e02_comp	Cardoso’s subentry for 'elucesco'	vel	lexicalEntry:n06686.e02	
lexicogComponent:n06709.e02_comp	Cardoso’s subentry for 'ematuresco'	&	lexicalEntry:n06709.e02	
lexicogComponent:n06883.e02_comp	Cardoso’s subentry for 'equuleus'	siue	lexicalEntry:n06883.e02	
lexicogComponent:n07045.e02_comp	Cardoso’s subentry for 'exaresco'	siue	lexicalEntry:n07045.e02	
lexicogComponent:n07273.e02_comp	Cardoso’s subentry for 'exolesco'	vel	lexicalEntry:n07273.e02	
lexicogComponent:n07310.e02_comp	Cardoso’s subentry for 'expallesco'	vel	lexicalEntry:n07310.e02	
lexicogComponent:n07336.e02_comp	Cardoso’s subentry for 'experientia'	siue	lexicalEntry:n07336.e02	
lexicogComponent:n07415.e02_comp	Cardoso’s subentry for 'exputresco'	siue	lexicalEntry:n07415.e02	
lexicogComponent:n07423.e02_comp	Cardoso’s subentry for 'extabesco'	siue	lexicalEntry:n07423.e02	
lexicogComponent:n07450.e02_comp	Cardoso’s subentry for 'extimesco'	vel	lexicalEntry:n07450.e02	
lexicogComponent:n07503.e02_comp	Cardoso’s subentry for 'extumesco'	vel	lexicalEntry:n07503.e02	
lexicogComponent:n07564.e02_comp	Cardoso’s subentry for 'fabrico'	siue	lexicalEntry:n07564.e02	
lexicogComponent:n07664.e02_comp	Cardoso’s subentry for 'falsiloquus'	vel	lexicalEntry:n07664.e02	
lexicogComponent:n07727.e02_comp	Cardoso’s subentry for 'farrarius'	vel	lexicalEntry:n07727.e02	
