ontolex.Form	rdfs.label	lexinfo.note	ontolex.writtenRep	skos.note
lexicalForm:n0165.e01.f01	aequi bonique facere		Aequi bonique facere	
lexicalForm:n0806.e01.f01	congruenter rationi uiuere		Congruenter rationi vivere	
lexicalForm:n0860.e01.f01	conuenienter rationi dicere		Convenienter rationi dicere	
lexicalForm:n0961.e01.f01	decies sestertium		Decies sestertium	
lexicalForm:n1959.e12.f01	lator legum		lator legum	
lexicalForm:n1959.e13.f01	lator legis		lator legis	
lexicalForm:n2338.e01.f01	obuiam alicui fieri		Obviam alicui fieri	
lexicalForm:n2338.e02.f01	obuiam alicui uenire	vel	Obviam alicui venire	
lexicalForm:n3159.e01.f01	sis		Sis	
