ontolex.LexicalSense	lexicog.usageExample	lexinfo.note	rdfs.comment	rdfs.label.en	rdfs.label.la	rdfs.label.pt	skos.definition.la	skos.definition.pt	skos.note
lexicalSense:n0001.sg01.s02	usageExample:n0001.sg01.s02.u01, usageExample:n0001.sg01.s02.u02, usageExample:n0001.sg01.s02.u03, usageExample:n0001.sg01.s02.u04, usageExample:n0001.sg01.s02.u05	Interdum ponitur A			pro Post		 pro Post 		
lexicalSense:n0001.sg01.s03	usageExample:n0001.sg01.s03.u01	Quandoque ponitur Ab			pro Praeter		 pro Praeter , sive Contra 		
lexicalSense:n0001.sg01.s04	usageExample:n0001.sg01.s04.u01, usageExample:n0001.sg01.s04.u02, usageExample:n0001.sg01.s04.u03	A, praeposita nominibus officiorum, & dignitatum			eos significat		 eos significat , qui iis officiis , vel dignitatibus funguntur 		
lexicalSense:n0001.sg01.s05	usageExample:n0001.sg01.s05.u01	A, vel Ab, cum ablativo personae			eleganter domicilium ejusdem personae significat		 eleganter domicilium ejusdem personae significat 		
lexicalSense:n0001.sg01.s99	usageExample:n0001.sg01.s99.u01, usageExample:n0001.sg01.s99.u02, usageExample:n0001.sg01.s99.u03		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n0002.sg01.s01	usageExample:n0002.sg01.s01.u01					alienar		 alienar , ou apartar 	
lexicalSense:n0002.sg01.s99	usageExample:n0002.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n0003.sg01.s01						Perseo		 Perseo , Bisneto de Abante , Rey de Grecia 	
lexicalSense:n0004.sg01.s01					Vasorum repositorium	copa	 Vasorum repositorium 	 copa , ou mesa , em que se poem a baixela , ou taboa para escrever , ou contar 	
lexicalSense:n0005.sg01.s01	usageExample:n0005.sg01.s01.u01, usageExample:n0005.sg01.s01.u02					privar		 privar , ou depor 	
lexicalSense:n0006.sg01.s01						a gordura do ventre		 a gordura do ventre , ou golodice , unto , ou enxundia 	
lexicalSense:n0006.sg01.s99	usageExample:n0006.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n0007.sg01.s01	usageExample:n0007.sg01.s01.u01					apartar		 apartar 	
lexicalSense:n0008.sg01.s01						filho segundo de Adam		 filho segundo de Adam 	
lexicalSense:n0009.sg01.s01						irse		 irse 	
lexicalSense:n0009.sg01.s99	usageExample:n0009.sg01.s99.u01, usageExample:n0009.sg01.s99.u02, usageExample:n0009.sg01.s99.u03		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n0010.sg01.s99	usageExample:n0010.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n0011.sg01.s01						cousa baixa		 cousa baixa , vil , ou desprezada , affligida , ou desmayada 	
lexicalSense:n0012.sg01.s01						huma arvore semelhante ao pinheiro negro		 huma arvore semelhante ao pinheiro negro 	
lexicalSense:n0013.sg01.s01						mulher de Nabal		 mulher de Nabal 	Postea Davidis uxor.
lexicalSense:n0014.sg01.s01						hum Rey de Gerara		 hum Rey de Gerara , Metropoli da terra de Palestina 	
lexicalSense:n0014.sg01.s02						(foy tambem nome commum dos Reys de Palestina.)		 ( foy tambem nome commum dos Reys de Palestina . ) 	
lexicalSense:n0015.sg01.s01						hum homem Hebreo		 hum homem Hebreo , irmaõ de Joab 	
lexicalSense:n0016.sg01.s01						gastar a fazenda em golodices		 gastar a fazenda em golodices 	
lexicalSense:n0017.sg01.s01						lavar		 lavar , purificar 	Activum.
lexicalSense:n0018.sg01.s01	usageExample:n0018.sg01.s01.u01					apagar		 apagar , ou tirar 	
lexicalSense:n0018.sg01.s02		aboleo			pro abluo		 pro abluo , seu lavo 		Virg. Georg. 4.
lexicalSense:n0019.sg01.s01						apagar se		 apagar se , desacostumar se 	Neutr. absolut.
lexicalSense:n0020.sg01.s01						abominar		 abominar , estranhar , ou detestar , agourando 	
lexicalSense:n0021.sg01.s01						raspar		 raspar , ou tirar por força , ou por engano 	
lexicalSense:n0021.sg01.s99	usageExample:n0021.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n0022.sg01.s01						Abraham		 Abraham , primeiro Patriarcha dos Hebreos 	
lexicalSense:n0023.sg01.s01						arrebatar		 arrebatar , ou tirar por força 	
lexicalSense:n0023.sg01.s99	usageExample:n0023.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n0024.sg01.s01						a herva lombrigueira		 a herva lombrigueira 	
lexicalSense:n0025.sg01.s01	usageExample:n0025.sg01.s01.u01, usageExample:n0025.sg01.s01.u02					de		 de 	
lexicalSense:n0026.sg01.s01						cortar		 cortar , rasgar 	
lexicalSense:n0027.sg01.s01						esconder		 esconder 	Activum.
lexicalSense:n0028.sg01.s01						absolver		 absolver , desatar , acabar , ou aperfeiçoar 	
lexicalSense:n0028.sg01.s99	usageExample:n0028.sg01.s99.u01, usageExample:n0028.sg01.s99.u02, usageExample:n0028.sg01.s99.u03, usageExample:n0028.sg01.s99.u04, usageExample:n0028.sg01.s99.u05		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n0029.sg01.s01	usageExample:n0029.sg01.s01.u01					cousa mal soante		 cousa mal soante , desconcordante 	
lexicalSense:n0030.sg01.s01						sorver		 sorver , ou consumir 	
lexicalSense:n0030.sg01.s99	usageExample:n0030.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n0031.sg01.s01	usageExample:n0031.sg01.s01.u01					sem		 sem 	
lexicalSense:n0032.sg01.s01	usageExample:n0032.sg01.s01.u01					cousa		 cousa , que naõ bebe vinho 	
lexicalSense:n0033.sg01.s01	usageExample:n0033.sg01.s01.u01					espantar		 espantar , apartar com terror 	
lexicalSense:n0034.sg01.s01	usageExample:n0034.sg01.s01.u01, usageExample:n0034.sg01.s01.u02					refrear		 refrear , ou refrear - se , abster , ou abster se 	Cum genitivo jungit Horat.
lexicalSense:n0034.sg01.s99	usageExample:n0034.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n0035.sg01.s01	usageExample:n0035.sg01.s01.u01					tirar por força		 tirar por força , ou apartar 	
lexicalSense:n0036.sg01.s01	usageExample:n0036.sg01.s01.u01, usageExample:n0036.sg01.s01.u02, usageExample:n0036.sg01.s01.u03, usageExample:n0036.sg01.s01.u04, usageExample:n0036.sg01.s01.u05					faltar		 faltar , ou estar longe , apartado , ou distante 	
lexicalSense:n0037.sg01.s01	usageExample:n0037.sg01.s01.u01					cousa feya		 cousa feya , torpe , indigna de ser ouvida 	
lexicalSense:n0038.sg01.s01	usageExample:n0038.sg01.s01.u01					ter abundancia		 ter abundancia 	
lexicalSense:n0039.sg01.s01						huma Cidade de Asia		 huma Cidade de Asia , e outra de Egypto 	
lexicalSense:n0040.sg01.s01						o abysmo		 o abysmo , pégo sem fundo 	
lexicalSense:n0040.sg01.s02						Era tambem Abyssus hum templo pequeno de Persephone		 Era tambem Abyssus hum templo pequeno de Persephone , ou Proserpina , no qual se tinha junto por muitos seculos grande quantidade de ouro 	unde & nomen accepit infinita auri copia.
lexicalSense:n0041.sg01.s99	usageExample:n0041.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n0042.sg01.s01	usageExample:n0042.sg01.s01.u01				pro Quàm		 pro Quàm 		
lexicalSense:n0042.sg01.s02	usageExample:n0042.sg01.s02.u01								Ponitur etiam Ac, & Ac si, post Perinde, & similiter
lexicalSense:n0043.sg01.s01						a herva Gigante		 a herva Gigante 	quem à foliorum similitudine cum anterioribus ursorum pedibus, Brancaõ, Ursinaõ vocant. Solent pocula hujus sculptura decorari, ut apud Virg. Ecl. 3.
lexicalSense:n0043.sg10.s01						He tambem Acanthus nome de tres Cidades		 He tambem Acanthus nome de tres Cidades , huma em Macedonia , outra em Egypto , e outra em Asia , a qual antigamente se chamava Dulopolis 	
lexicalSense:n0044.sg01.s01	usageExample:n0044.sg01.s01.u01, usageExample:n0044.sg01.s01.u02					cousa perfeita		 cousa perfeita 	
lexicalSense:n0045.sg01.s01	usageExample:n0045.sg01.s01.u01, usageExample:n0045.sg01.s01.u02					chegar		 chegar 	
lexicalSense:n0045.sg01.s02	usageExample:n0045.sg01.s02.u01, usageExample:n0045.sg01.s02.u02	Algumas vezes				denota semelhança		 denota semelhança , ou igualdade 	
lexicalSense:n0045.sg01.s03	usageExample:n0045.sg01.s03.u01, usageExample:n0045.sg01.s03.u02, usageExample:n0045.sg01.s03.u03	Significa tambem				accrescentar-se		 accrescentar - se , ou ajuntar - se 	
lexicalSense:n0046.sg01.s01	usageExample:n0046.sg01.s01.u01					cousa aceita		 cousa aceita 	
lexicalSense:n0047.sg01.s01	usageExample:n0047.sg01.s01.u01					acontecer		 acontecer 	
lexicalSense:n0048.sg01.s01	usageExample:n0048.sg01.s01.u01, usageExample:n0048.sg01.s01.u02					cahir junto de alguma cousa		 cahir junto de alguma cousa 	
lexicalSense:n0048.sg01.s02	usageExample:n0048.sg01.s02.u01	Toma-se tambem por				morrer		 morrer 	
lexicalSense:n0048.sg01.s03	usageExample:n0048.sg01.s03.u01	Por				ouvir		 ouvir 	
lexicalSense:n0049.sg01.s01						tomar		 tomar , receber , ouvir ou entender 	
lexicalSense:n0049.sg01.s99	usageExample:n0049.sg01.s99.u01, usageExample:n0049.sg01.s99.u02, usageExample:n0049.sg01.s99.u03, usageExample:n0049.sg01.s99.u04		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n0050.sg01.s01						o Açor		 o Açor , ou Falcaõ 	
lexicalSense:n0051.sg01.s01	usageExample:n0051.sg01.s01.u01					fazer applauso		 fazer applauso , ou mostrar favor 	
lexicalSense:n0052.sg01.s01	usageExample:n0052.sg01.s01.u01					cousa inclinada para alguma parte		 cousa inclinada para alguma parte 	
lexicalSense:n0053.sg01.s01	usageExample:n0053.sg01.s01.u01					inclinar		 inclinar , ou encostar alguma cousa , ou consentir com outro 	
lexicalSense:n0054.sg01.s01	usageExample:n0054.sg01.s01.u01					cousa		 cousa , que he costa arriba , ou encostada 	
lexicalSense:n0055.sg01.s01	usageExample:n0055.sg01.s01.u01					o que		 o que , ou a que mora perto de algum lugar 	
lexicalSense:n0056.sg01.s01	usageExample:n0056.sg01.s01.u01					cousa accommodada		 cousa accommodada , ou natural 	
lexicalSense:n0057.sg01.s01	usageExample:n0057.sg01.s01.u01					cousa accommodada		 cousa accommodada 	
lexicalSense:n0058.sg01.s01	usageExample:n0058.sg01.s01.u01					accrescentar-se		 accrescentar - se 	
lexicalSense:n0059.sg01.s01						jazer		 jazer , estar assentado á meza junto de outro 	
lexicalSense:n0059.sg01.s99	usageExample:n0059.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n0060.sg01.s01	usageExample:n0060.sg01.s01.u01					accudir		 accudir 	
lexicalSense:n0061.sg01.s01	usageExample:n0061.sg01.s01.u01					accusar		 accusar 	
lexicalSense:n0062.sg01.s01						huma arvore semelhante ao Platano		 huma arvore semelhante ao Platano 	
lexicalSense:n0063.sg01.s01						cousa agra		 cousa agra , forte , vehemente , ou diligente 	
lexicalSense:n0063.sg01.s99	usageExample:n0063.sg01.s99.u01, usageExample:n0063.sg01.s99.u02		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n0064.sg01.s01	usageExample:n0064.sg01.s01.u01, usageExample:n0064.sg01.s01.u02, usageExample:n0064.sg01.s01.u03					cousa azeda		 cousa azeda , rispida , vehemente , dura , ou aspera 	
lexicalSense:n0065.sg01.s01						hum rio de Epiro		 hum rio de Epiro , Regiaõ de Grecia , pelo qual , quem huma vez passava , nunca tornava , como dizem os Poetas , os quaes por isso fingiraõ ser rio do Inferno 	
lexicalSense:n0066.sg01.s01						huma obra de Estacio		 huma obra de Estacio , que trata de Achilles 	
lexicalSense:n0067.sg01.s01						Achilles Capitaõ Grego		 Achilles Capitaõ Grego , filho de Peleo , e de Thetis 	
lexicalSense:n0067.sg01.s02					Tantae fortitudinis fuisse fertur		 Tantae fortitudinis fuisse fertur , ut insigni fortitudine duces Achilles appellentur 		
lexicalSense:n0067.sg01.s03		&			argumentum insuperabile		 argumentum insuperabile , ac insolubile 		
lexicalSense:n0067.sg01.s04		&			quidquid invictum est		 quidquid invictum est , Achilleum vocetur 		
lexicalSense:n0067.sg01.s05					Achilles Romanus		 Achilles Romanus , ob insignem fortitudinem dictus est Lucius Sicinius Dentatus , quòd pugnaverit in hostem centum , & viginti praeliis , cicatricem aversam nullam , adversas quinque , & quadraginta tulerit 		
lexicalSense:n0068.sg01.s01						Pyrrho		 Pyrrho , filho de Achilles 	
lexicalSense:n0069.sg01.s01	usageExample:n0069.sg01.s01.u01					cousa azeda		 cousa azeda 	
lexicalSense:n0069.sg01.s99	usageExample:n0069.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n0070.sg01.s01						a espada persiana		 a espada persiana 	
lexicalSense:n0071.sg01.s01						o bagulho		 o bagulho , ou bago de uva , romãa , hera , sabugueiro ; e cousas semelhantes 	
lexicalSense:n0072.sg01.s01	usageExample:n0072.sg01.s01.u01					aquietar-se		 aquietar - se , descançar em alguma cousa , ou consentir 	
lexicalSense:n0073.sg01.s01	usageExample:n0073.sg01.s01.u01					acquirir		 acquirir , ou alcançar o desejado 	
lexicalSense:n0074.sg01.s01						hum monte		 hum monte , e Cidade de Cicilia 	Agrigentum à Latinis dicitur.
lexicalSense:n0074.sg01.s02						He tambem Acragas		 He tambem Acragas , nome de hum insigne escultor , e mais de quatro Cidades , huma em Thracia , outra em Eubea , a terceira em Chipre , a quarta em Etolia 	
lexicalSense:n0075.sg01.s01						Danae		 Danae , filha de Acrisio , Rey dos Gregos 	
lexicalSense:n0076.sg01.s01						Perseo		 Perseo , filho de Danae , neto de Acrisio 	
lexicalSense:n0077.sg01.s01	usageExample:n0077.sg01.s01.u01					fortemente		 fortemente , agra , agudamente 	
lexicalSense:n0078.sg01.s01						Patroclo		 Patroclo , neto de Actor , capitaõ Grego 	
lexicalSense:n0079.sg01.s01						alimpadura		 alimpadura 	
lexicalSense:n0080.sg01.s01						o peixe agulha		 o peixe agulha 	
lexicalSense:n0081.sg01.s01						agulha		 agulha , alimpadura , ou instrumento , de que usaõ as mulheres para ornar , e desembaraçar os cabellos 	
lexicalSense:n0081.sg01.s99	usageExample:n0081.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n0082.sg01.s01	usageExample:n0082.sg01.s01.u01, usageExample:n0082.sg01.s01.u02, usageExample:n0082.sg01.s01.u03, usageExample:n0082.sg01.s01.u04, usageExample:n0082.sg01.s01.u05, usageExample:n0082.sg01.s01.u06, usageExample:n0082.sg01.s01.u07, usageExample:n0082.sg01.s01.u08					para perto		 para perto , ou junto 	
lexicalSense:n0082.sg01.s02	usageExample:n0082.sg01.s02.u01, usageExample:n0082.sg01.s02.u02, usageExample:n0082.sg01.s02.u03, usageExample:n0082.sg01.s02.u04, usageExample:n0082.sg01.s02.u05, usageExample:n0082.sg01.s02.u06, usageExample:n0082.sg01.s02.u07, usageExample:n0082.sg01.s02.u08, usageExample:n0082.sg01.s02.u09	Ponitur &			pro Usque ad		 pro Usque ad 		
lexicalSense:n0082.sg01.s03	usageExample:n0082.sg01.s03.u01, usageExample:n0082.sg01.s03.u02, usageExample:n0082.sg01.s03.u03, usageExample:n0082.sg01.s03.u04	Aliquando significat			officium		 officium 		
lexicalSense:n0083.sg01.s01	usageExample:n0083.sg01.s01.u01					igualar huma cousa a outra		 igualar huma cousa a outra 	
lexicalSense:n0083.sg01.s99	usageExample:n0083.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n0084.sg01.s01						proverbio		 proverbio 	
lexicalSense:n0085.sg01.s01						nosso primeiro Pay		 nosso primeiro Pay 	
lexicalSense:n0086.sg01.s01						o diamante		 o diamante 	
lexicalSense:n0086.sg01.s02		Est etiam hoc nomine			herba		 herba , quae & Hyoscyamus , & Apollinaris vocatur 		
lexicalSense:n0087.sg01.s01	usageExample:n0087.sg01.s01.u01				verbum ex tribus illis	appropriar	 verbum ex tribus illis , quibus universum Praetoris imperium , ac potestas continebatur , Do , Dico , Addico ; nam in addicendo jus faciebat 	 appropriar , ou vender em almoeda 	
lexicalSense:n0087.sg01.s02					Dicuntur deinde addicere in augurali disciplina aves		 Dicuntur deinde addicere in augurali disciplina aves , quando ratum faciunt auspicium 		
lexicalSense:n0087.sg01.s99	usageExample:n0087.sg01.s99.u01, usageExample:n0087.sg01.s99.u02		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n0088.sg01.s01	usageExample:n0088.sg01.s01.u01					accrescentar		 accrescentar , ajuntar 	
lexicalSense:n0088.sg01.s99	usageExample:n0088.sg01.s99.u01, usageExample:n0088.sg01.s99.u02		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n0089.sg01.s01						taõ		 taõ , ou tanto , ou em tanto 	
lexicalSense:n0089.sg01.s02	usageExample:n0089.sg01.s02.u01, usageExample:n0089.sg01.s02.u02	Ponitur interdum			pro Quoque		 pro Quoque , vel Etiam 		
lexicalSense:n0089.sg01.s03	usageExample:n0089.sg01.s03.u01	Post conjunctionem Atque, subjectum auget			idem significans		 idem significans , quod Imo , vel Potius 		
lexicalSense:n0090.sg01.s01						ir ter com alguem		 ir ter com alguem 	
lexicalSense:n0090.sg01.s99	usageExample:n0090.sg01.s99.u01, usageExample:n0090.sg01.s99.u02		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n0091.sg01.s01						a gordura		 a gordura , a enxundia 	
lexicalSense:n0092.sg01.s01	usageExample:n0092.sg01.s01.u01					andar a cavallo perto de alguma cousa		 andar a cavallo perto de alguma cousa 	
lexicalSense:n0093.sg01.s01	usageExample:n0093.sg01.s01.u01					estar pegado		 estar pegado 	
lexicalSense:n0094.sg01.s01	usageExample:n0094.sg01.s01.u01					pegar-se		 pegar - se 	
lexicalSense:n0095.sg01.s01	usageExample:n0095.sg01.s01.u01, usageExample:n0095.sg01.s01.u02, usageExample:n0095.sg01.s01.u03, usageExample:n0095.sg01.s01.u04, usageExample:n0095.sg01.s01.u05					pôr		 pôr , accrescentar , ou chegar huma cousa a outra 	
lexicalSense:n0096.sg01.s01	usageExample:n0096.sg01.s01.u01					jazer junto de alguma cousa		 jazer junto de alguma cousa 	
lexicalSense:n0097.sg01.s01	usageExample:n0097.sg01.s01.u01, usageExample:n0097.sg01.s01.u02, usageExample:n0097.sg01.s01.u03					meter		 meter , ou levar por força 	
lexicalSense:n0098.sg01.s01	usageExample:n0098.sg01.s01.u01, usageExample:n0098.sg01.s01.u02, usageExample:n0098.sg01.s01.u03					ajuntar		 ajuntar 	
lexicalSense:n0099.sg01.s01						tirar		 tirar 	
lexicalSense:n0099.sg01.s99	usageExample:n0099.sg01.s99.u01, usageExample:n0099.sg01.s99.u02, usageExample:n0099.sg01.s99.u03		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n0100.sg01.s01	usageExample:n0100.sg01.s01.u01, usageExample:n0100.sg01.s01.u02					alcançar		 alcançar 	
lexicalSense:n0101.sg01.s01	usageExample:n0101.sg01.s01.u01					julgar por sentença		 julgar por sentença , ou attribuir 	
lexicalSense:n0102.sg01.s01	usageExample:n0102.sg01.s01.u01, usageExample:n0102.sg01.s01.u02					ajuntar		 ajuntar 	
lexicalSense:n0103.sg01.s01	usageExample:n0103.sg01.s01.u01					medir		 medir , ou repartir por medida 	
lexicalSense:n0104.sg01.s01						maravilhar-se de alguma cousa		 maravilhar - se de alguma cousa 	
lexicalSense:n0104.sg01.s02		Interdum ponitur			pro venerari		 pro venerari , vel suspicere 		
lexicalSense:n0105.sg01.s01	usageExample:n0105.sg01.s01.u01, usageExample:n0105.sg01.s01.u02					misturar		 misturar 	
lexicalSense:n0106.sg01.s01	usageExample:n0106.sg01.s01.u01					admittir		 admittir , deixar entrar 	
lexicalSense:n0106.sg01.s02	usageExample:n0106.sg01.s02.u01, usageExample:n0106.sg01.s02.u02	Ponitur etiam			pro committere		 pro committere 		
lexicalSense:n0106.sg01.s03					Dicuntur etiam aves admittere		 Dicuntur etiam aves admittere , quemadmodum & addicere , pro portendere 		
lexicalSense:n0106.sg01.s04						Admittere		 Admittere , por enxertar 	apud Plin. 1. 17. c. 18.
lexicalSense:n0106.sg01.s99	usageExample:n0106.sg01.s99.u01, usageExample:n0106.sg01.s99.u02		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n0107.sg01.s01						muito demasiadamente		 muito demasiadamente 	quasi dicas supra modum.
lexicalSense:n0107.sg01.s02		Ponitur etiam			pro sane		 pro sane , vel oppidò 		
lexicalSense:n0107.sg01.s03	usageExample:n0107.sg01.s03.u01	Quandoque significat			aliquantulum		 aliquantulum , sive satis ; quasi secundùm rationem 		
lexicalSense:n0107.sg01.s04	usageExample:n0107.sg01.s04.u01	Interdum valet			idem		 idem , atque propemodum , vel ferè 		
lexicalSense:n0108.sg01.s01	usageExample:n0108.sg01.s01.u01					avisar		 avisar 	
lexicalSense:n0109.sg01.s01						aviso		 aviso , lembrança 	
lexicalSense:n0109.sg01.s99	usageExample:n0109.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n0110.sg01.s01	usageExample:n0110.sg01.s01.u01, usageExample:n0110.sg01.s01.u02, usageExample:n0110.sg01.s01.u03					chegar		 chegar , ou arrimar huma cousa a outra 	
lexicalSense:n0111.sg01.s01	usageExample:n0111.sg01.s01.u01					nascer junto		 nascer junto 	
lexicalSense:n0112.sg01.s01	usageExample:n0112.sg01.s01.u01					nadar		 nadar , para , ou junto de alguma parte 	
lexicalSense:n0113.sg01.s01	usageExample:n0113.sg01.s01.u01, usageExample:n0113.sg01.s01.u02, usageExample:n0113.sg01.s01.u03					estribar		 estribar , ou sustentar - se em alguma cousa 	
lexicalSense:n0114.sg01.s01						nadar para alguma parte		 nadar para alguma parte 	
lexicalSense:n0114.sg01.s99	usageExample:n0114.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n0115.sg01.s01	usageExample:n0115.sg01.s01.u01					queimar em sacrificio		 queimar em sacrificio 	
lexicalSense:n0116.sg01.s01						crescer		 crescer 	Neutr. absol.
lexicalSense:n0117.sg01.s01						o mancebo		 o mancebo , ou mulher desta idade 	
lexicalSense:n0117.sg10.s01	usageExample:n0117.sg10.s01.u01	Est etiam participium ex Adolesco							
lexicalSense:n0118.sg01.s01						hum pastor		 hum pastor 	apud Virgilium
lexicalSense:n0118.sg01.s02						foy tambem hum filho de hum Rey de Chypre		 foy tambem hum filho de hum Rey de Chypre 	à Venere in florem Anemones herbae dicitur conversus.
lexicalSense:n0118.sg01.s99	usageExample:n0118.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n0119.sg01.s01	usageExample:n0119.sg01.s01.u01					escolher		 escolher 	
lexicalSense:n0119.sg01.s99	usageExample:n0119.sg01.s99.u01, usageExample:n0119.sg01.s99.u02, usageExample:n0119.sg01.s99.u03, usageExample:n0119.sg01.s99.u04		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n0120.sg01.s01						o trigo candeal		 o trigo candeal 	quod & Far dicitur
lexicalSense:n0121.sg01.s01						adorar		 adorar , supplicar , reverenciar 	
lexicalSense:n0122.sg01.s01						filho de Adrasto Rey de Grecia		 filho de Adrasto Rey de Grecia 	
lexicalSense:n0123.sg01.s01	usageExample:n0123.sg01.s01.u01, usageExample:n0123.sg01.s01.u02					chegar arrojando para alguma parte		 chegar arrojando para alguma parte 	
lexicalSense:n0124.sg01.s01						o mar de Venesa		 o mar de Venesa 	qui & Adriaticum mare, & Superum appellatur: sive quòd Italiam ab Oriente alluat, sive quòd ex Urbe contendentibus Apenninus superandus sit. Etiam dicitur Adrinum mare, vel Adriacum.
lexicalSense:n0125.sg01.s01	usageExample:n0125.sg01.s01.u01					ajuntar		 ajuntar , ou attribuir 	
lexicalSense:n0125.sg01.s99	usageExample:n0125.sg01.s99.u01, usageExample:n0125.sg01.s99.u02, usageExample:n0125.sg01.s99.u03, usageExample:n0125.sg01.s99.u04		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n0126.sg01.s01	usageExample:n0126.sg01.s01.u01					favorecer		 favorecer 	
