ontolex.LexicalSense	lexicog.usageExample	lexinfo.note	rdfs.comment	rdfs.label.en	rdfs.label.la	rdfs.label.pt	skos.definition.la	skos.definition.pt	skos.note
lexicalSense:n1653.sg01.s01						cousa incerta		 cousa incerta , ou duvidosa 	
lexicalSense:n1654.sg01.s01	usageExample:n1654.sg01.s01.u01, usageExample:n1654.sg01.s01.u02, usageExample:n1654.sg01.s01.u03					desafiar		 desafiar , provocar , accometter 	
lexicalSense:n1655.sg01.s01						incesto		 incesto 	
lexicalSense:n1655.sg10.s01		i			pollutus		 pollutus , impurus 		
lexicalSense:n1655.sg20.s01					foedè		 foedè , turpiter 		
lexicalSense:n1656.sg01.s01	usageExample:n1656.sg01.s01.u01					começar		 começar 	Act.
lexicalSense:n1657.sg01.s01						cahir em		 cahir em , ou sobre alguma cousa 	dat.
lexicalSense:n1657.sg01.s02	usageExample:n1657.sg01.s02.u01								Interdum absolutè
lexicalSense:n1657.sg01.s99	usageExample:n1657.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n1657.sg10.s01		por				acontecer		 acontecer 	
lexicalSense:n1658.sg01.s01						cortar		 cortar , interromper 	accus.
lexicalSense:n1658.sg01.s99	usageExample:n1658.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n1659.sg01.s01						reprehender gritando		 reprehender gritando , bradar a alguem 	cum accus. frequentiùs, quàm dat.
lexicalSense:n1660.sg01.s01	usageExample:n1660.sg01.s01.u01					encerrar		 encerrar , fechar dentro 	
lexicalSense:n1661.sg01.s01						dar damno		 dar damno , ou incommodo 	
lexicalSense:n1662.sg01.s01						cousa damnosa		 cousa damnosa , molesta 	
lexicalSense:n1663.sg01.s01						cousa desconveniente		 cousa desconveniente , que naõ quadra 	
lexicalSense:n1664.sg01.s01						fazer som		 fazer som , ou estrondo 	Neutr. & aliquando com accus.
lexicalSense:n1664.sg01.s99	usageExample:n1664.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n1664.sg10.s01						insultar		 insultar , accusar 	
lexicalSense:n1665.sg01.s01						recalcar huma cousa sobre outra		 recalcar huma cousa sobre outra 	Act.
lexicalSense:n1665.sg01.s02		Por				intimar muitas vezes		 intimar muitas vezes , ou inculcar 	Aliquid alicui.
lexicalSense:n1666.sg01.s01						encostar-se a alguma cousa		 encostar - se a alguma cousa 	dat.
lexicalSense:n1666.sg01.s02		Por				applicar-se com todas as forças		 applicar - se com todas as forças , e intençaõ 	dat. & frequentiùs accus. cum in, vel ad
lexicalSense:n1666.sg01.s03		quos casus etiam habet			pro Irruere		 pro Irruere , vel Ingruere , & Supervenire 		
lexicalSense:n1666.sg01.s04		Habet etiam Incumbo, por				encostar-se		 encostar - se 	accus. cum praep. In.
lexicalSense:n1667.sg01.s01						o berço		 o berço , etc 	
lexicalSense:n1668.sg01.s01						cousa negligente		 cousa negligente , sem cuidado , e curiosidade 	
lexicalSense:n1669.sg01.s01	usageExample:n1669.sg01.s01.u01					accometter de corrida		 accometter de corrida 	
lexicalSense:n1669.sg01.s02	usageExample:n1669.sg01.s02.u01	Eunde casum habet			pro incidere		 pro incidere 		& aliquando dativum
lexicalSense:n1669.sg01.s99	usageExample:n1669.sg01.s99.u01, usageExample:n1669.sg01.s99.u02, usageExample:n1669.sg01.s99.u03, usageExample:n1669.sg01.s99.u04, usageExample:n1669.sg01.s99.u05		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n1669.sg10.s01						o encontro		 o encontro 	
lexicalSense:n1670.sg01.s01	usageExample:n1670.sg01.s01.u01, usageExample:n1670.sg01.s01.u02					accometter		 accometter , ou encontrar - se correndo 	
lexicalSense:n1671.sg01.s01						bigorna		 bigorna 	
lexicalSense:n1672.sg01.s01						accusar		 accusar , reprehender 	
lexicalSense:n1673.sg01.s01	usageExample:n1673.sg01.s01.u01, usageExample:n1673.sg01.s01.u02, usageExample:n1673.sg01.s01.u03					dar polpe		 dar polpe , ou pancada 	
lexicalSense:n1674.sg01.s01						dahi		 dahi , ou depois disso 	
lexicalSense:n1675.sg01.s01						cousa de deshonra		 cousa de deshonra , torpe , indecente , fea 	
lexicalSense:n1676.sg01.s01						o mesmo		 o mesmo 	dat.
