lexicog.Entry	rdfs.label	lexinfo.note	lexicog.describes	lexicog.subComponent	skos.note
lexicogEntry:n0061	Velez’s entry for 'Accuso'		lexicalEntry:n0061.e01		228. 10. & 17.
lexicogEntry:n0062	Velez’s entry for 'Acer'		lexicalEntry:n0062.e01		122. 19.
lexicogEntry:n0063	Velez’s entry for 'Acer'		lexicalEntry:n0063.e01		153. 12.
lexicogEntry:n0064	Velez’s entry for 'Acerbus'		lexicalEntry:n0064.e01		212. 28.
lexicogEntry:n0065	Velez’s entry for 'Acheron'		lexicalEntry:n0065.e01		142. 22.
lexicogEntry:n0066	Velez’s entry for 'Achilleis'		lexicalEntry:n0066.e01		356. 29.
lexicogEntry:n0067	Velez’s entry for 'Achilles'		lexicalEntry:n0067.e01	lexicogComponent:n0067.e02_comp	152. 24.
lexicogEntry:n0068	Velez’s entry for 'Achillides'		lexicalEntry:n0068.e01		354. 26.
lexicogEntry:n0069	Velez’s entry for 'Acidus'		lexicalEntry:n0069.e01		212. 28.
lexicogEntry:n0070	Velez’s entry for 'Acinaces'		lexicalEntry:n0070.e01		127. 15. & 23.
lexicogEntry:n0071	Velez’s entry for 'Acinus'		lexicalEntry:n0071.e01	lexicogComponent:n0071.e02_comp	172. 4.
lexicogEntry:n0072	Velez’s entry for 'Acquiesco'		lexicalEntry:n0072.e01		224. 5.
lexicogEntry:n0073	Velez’s entry for 'Acquiro'		lexicalEntry:n0073.e01		193. 9. 233. 11.
lexicogEntry:n0074	Velez’s entry for 'Acragas'		lexicalEntry:n0074.e01	lexicogComponent:n0074.e02_comp	127. 1. & 9.
lexicogEntry:n0075	Velez’s entry for 'Acrisione'		lexicalEntry:n0075.e01		357. 21.
lexicogEntry:n0076	Velez’s entry for 'Acrisioniades'		lexicalEntry:n0076.e01		Ibidem 26.
lexicogEntry:n0077	Velez’s entry for 'Acriter'		lexicalEntry:n0077.e01		112. 32.
lexicogEntry:n0078	Velez’s entry for 'Actorides'		lexicalEntry:n0078.e01		355. 5.
lexicogEntry:n0079	Velez’s entry for 'Acus'		lexicalEntry:n0079.e01		129. 14.
lexicogEntry:n0080	Velez’s entry for 'Acus'		lexicalEntry:n0080.e01		128. 19.
lexicogEntry:n0081	Velez’s entry for 'Acus'		lexicalEntry:n0081.e01		128. 26. & 158. 19.
lexicogEntry:n0082	Velez’s entry for 'Ad'		lexicalEntry:n0082.e01		111. 6.
lexicogEntry:n0083	Velez’s entry for 'Adaequo'		lexicalEntry:n0083.e01		232. 5.
lexicogEntry:n0084	Velez’s entry for 'Adagium'		lexicalEntry:n0084.e01	lexicogComponent:n0084.e02_comp	172. 8.
lexicogEntry:n0085	Velez’s entry for 'Adam'		lexicalEntry:n0085.e01	lexicogComponent:n0085.e02_comp	168. 24.
lexicogEntry:n0086	Velez’s entry for 'Adamas'		lexicalEntry:n0086.e01		127. 1.
lexicogEntry:n0087	Velez’s entry for 'Addico'		lexicalEntry:n0087.e01		233. 11.
lexicogEntry:n0088	Velez’s entry for 'Addo'		lexicalEntry:n0088.e01		Ibidem.
lexicogEntry:n0089	Velez’s entry for 'Adeò'		lexicalEntry:n0089.e01		271. 2.
lexicogEntry:n0090	Velez’s entry for 'Adeo'		lexicalEntry:n0090.e01		262. 24. & fine.
lexicogEntry:n0091	Velez’s entry for 'Adeps'		lexicalEntry:n0091.e01		133. 14.
