ontolex.LexicalEntry	subClass	decomp.subterm	lexinfo.note	ontolex.canonicalForm	ontolex.lexicalForm	ontolex.sense	rdfs.label	skos.note
lexicalEntry:n0014.e01	ontolex:Word			lilaLemma:5671		lexicalSense:n0014.sg01.s01, lexicalSense:n0014.sg01.s02	Velez’s lexical entry for 'Abimelec'	
lexicalEntry:n0015.e01	ontolex:Word			lilaLemma:6177		lexicalSense:n0015.sg01.s01	Velez’s lexical entry for 'Abisai'	
lexicalEntry:n0016.e01	ontolex:Word			lilaLemma:86919		lexicalSense:n0016.sg01.s01	Velez’s lexical entry for 'Abligurio'	
lexicalEntry:n0017.e01	ontolex:Word			lilaLemma:91082		lexicalSense:n0017.sg01.s01	Velez’s lexical entry for 'Abluo'	
lexicalEntry:n0018.e01	ontolex:Word			lilaLemma:86951		lexicalSense:n0018.sg01.s01, lexicalSense:n0018.sg01.s02	Velez’s lexical entry for 'Aboleo'	
lexicalEntry:n0019.e01	ontolex:Word			lilaLemma:88756		lexicalSense:n0019.sg01.s01	Velez’s lexical entry for 'Abolesco'	
lexicalEntry:n0020.e01	ontolex:Word			lilaLemma:86957		lexicalSense:n0020.sg01.s01	Velez’s lexical entry for 'Abominor'	Commune.
lexicalEntry:n0021.e01	ontolex:Word			lilaLemma:86971		lexicalSense:n0021.sg01.s01, lexicalSense:n0021.sg01.s99	Velez’s lexical entry for 'Abrado'	
lexicalEntry:n0022.e01	ontolex:Word			lilaLemma:10590		lexicalSense:n0022.sg01.s01	Velez’s lexical entry for 'Abrahamus'	
lexicalEntry:n0023.e01	ontolex:Word			lilaLemma:86978		lexicalSense:n0023.sg01.s01, lexicalSense:n0023.sg01.s99	Velez’s lexical entry for 'Abripio'	
lexicalEntry:n0024.e01	ontolex:Word			lilaLemma:12450		lexicalSense:n0024.sg01.s01	Velez’s lexical entry for 'Abrotonum'	
lexicalEntry:n0024.e02	ontolex:Word			lilaLemma:105060		lexicalSense:n0024.sg01.s01	Velez’s lexical entry for 'abrotonus'	
lexicalEntry:n0025.e01	ontolex:Word		praep.	lilaLemma:86824		lexicalSense:n0025.sg01.s01	Velez’s lexical entry for 'Abs'	
lexicalEntry:n0026.e01	ontolex:Word			lilaLemma:86988		lexicalSense:n0026.sg01.s01	Velez’s lexical entry for 'Abscindo'	Abscindi, pen comunis.
lexicalEntry:n0027.e01	ontolex:Word			lilaLemma:86994		lexicalSense:n0027.sg01.s01	Velez’s lexical entry for 'Abscondo'	
lexicalEntry:n0028.e01	ontolex:Word			lilaLemma:87018		lexicalSense:n0028.sg01.s01, lexicalSense:n0028.sg01.s99	Velez’s lexical entry for 'Absolvo'	
lexicalEntry:n0029.e01	ontolex:Word			lilaLemma:87020		lexicalSense:n0029.sg01.s01	Velez’s lexical entry for 'Absonus'	
lexicalEntry:n0030.e01	ontolex:Word			lilaLemma:87021		lexicalSense:n0030.sg01.s01, lexicalSense:n0030.sg01.s99	Velez’s lexical entry for 'Absorbeo'	
lexicalEntry:n0031.e01	ontolex:Word		praep.	lilaLemma:87023		lexicalSense:n0031.sg01.s01	Velez’s lexical entry for 'Absque'	
lexicalEntry:n0032.e01	ontolex:Word			lilaLemma:87025		lexicalSense:n0032.sg01.s01	Velez’s lexical entry for 'Abstemius'	
lexicalEntry:n0033.e01	ontolex:Word			lilaLemma:87028		lexicalSense:n0033.sg01.s01	Velez’s lexical entry for 'Absterreo'	
lexicalEntry:n0034.e01	ontolex:Word			lilaLemma:87031		lexicalSense:n0034.sg01.s01, lexicalSense:n0034.sg01.s99	Velez’s lexical entry for 'Abstineo'	
lexicalEntry:n0035.e01	ontolex:Word			lilaLemma:87035		lexicalSense:n0035.sg01.s01	Velez’s lexical entry for 'Abstraho'	
lexicalEntry:n0036.e01	ontolex:Word			lilaLemma:87040		lexicalSense:n0036.sg01.s01	Velez’s lexical entry for 'Absum'	
lexicalEntry:n0037.e01	ontolex:Word			lilaLemma:87045		lexicalSense:n0037.sg01.s01	Velez’s lexical entry for 'Absurdus'	
lexicalEntry:n0038.e01	ontolex:Word			lilaLemma:87053		lexicalSense:n0038.sg01.s01	Velez’s lexical entry for 'Abundo'	
lexicalEntry:n0039.e01	ontolex:Word			lilaLemma:136273		lexicalSense:n0039.sg01.s01	Velez’s lexical entry for 'Abydos'	
lexicalEntry:n0039.e02	ontolex:Word			lilaLemma:19526		lexicalSense:n0039.sg01.s01	Velez’s lexical entry for 'Abydum'	
lexicalEntry:n0040.e01	ontolex:Word			lilaLemma:91105		lexicalSense:n0040.sg01.s01, lexicalSense:n0040.sg01.s02	Velez’s lexical entry for 'Abyssus'	
lexicalEntry:n0041.e01	ontolex:Word		conjunct.	lilaLemma:90490		lexicalSense:n0041.sg01.s99	Velez’s lexical entry for 'Ac'	
lexicalEntry:n0042.e01	ontolex:Word		Adverb.	lilaLemma:90490		lexicalSense:n0042.sg01.s01, lexicalSense:n0042.sg01.s02	Velez’s lexical entry for 'Ac'	
lexicalEntry:n0043.e01	ontolex:Word			lilaLemma:87068		lexicalSense:n0043.sg01.s01	Velez’s lexical entry for 'Acanthus'	
lexicalEntry:n0043.e02	ontolex:Word			lilaLemma:87067		lexicalSense:n0043.sg01.s01	Velez’s lexical entry for 'acantha'	
lexicalEntry:n0043.e10	ontolex:Word			lilaLemma:20534		lexicalSense:n0043.sg10.s01	Velez’s lexical entry for 'Acanthus'	
lexicalEntry:n0044.e01	ontolex:Word			lilaLemma:87073		lexicalSense:n0044.sg01.s01	Velez’s lexical entry for 'Acatalectus'	
lexicalEntry:n0045.e01	ontolex:Word			lilaLemma:87084		lexicalSense:n0045.sg01.s01, lexicalSense:n0045.sg01.s02, lexicalSense:n0045.sg01.s03	Velez’s lexical entry for 'Accedo'	
lexicalEntry:n0046.e01	ontolex:Word			lilaIpoLemma:343		lexicalSense:n0046.sg01.s01	Velez’s lexical entry for 'Acceptus'	
lexicalEntry:n0047.e01	ontolex:Word			lilaLemma:156147		lexicalSense:n0047.sg01.s01	Velez’s lexical entry for 'Accidit'	
lexicalEntry:n0048.e01	ontolex:Word		à Cado,	lilaLemma:87112		lexicalSense:n0048.sg01.s01, lexicalSense:n0048.sg01.s02, lexicalSense:n0048.sg01.s03	Velez’s lexical entry for 'Accido'	
lexicalEntry:n0049.e01	ontolex:Word			lilaLemma:87119		lexicalSense:n0049.sg01.s01, lexicalSense:n0049.sg01.s99	Velez’s lexical entry for 'Accipio'	
lexicalEntry:n0050.e01	ontolex:Word			lilaLemma:87120		lexicalSense:n0050.sg01.s01	Velez’s lexical entry for 'Accipiter'	
lexicalEntry:n0051.e01	ontolex:Word			lilaLemma:87127		lexicalSense:n0051.sg01.s01	Velez’s lexical entry for 'Acclamo'	
lexicalEntry:n0052.e01	ontolex:Word			lilaLemma:87131		lexicalSense:n0052.sg01.s01	Velez’s lexical entry for 'Acclinis'	
lexicalEntry:n0053.e01	ontolex:Word			lilaLemma:87132		lexicalSense:n0053.sg01.s01	Velez’s lexical entry for 'Acclino'	
lexicalEntry:n0054.e01	ontolex:Word			lilaLemma:87134		lexicalSense:n0054.sg01.s01	Velez’s lexical entry for 'Acclivis'	
lexicalEntry:n0055.e01	ontolex:Word			lilaLemma:87137		lexicalSense:n0055.sg01.s01	Velez’s lexical entry for 'Accola'	
lexicalEntry:n0056.e01	ontolex:Word			lilaIpoLemma:375		lexicalSense:n0056.sg01.s01	Velez’s lexical entry for 'Accommodatus'	
lexicalEntry:n0057.e01	ontolex:Word			lilaLemma:87144		lexicalSense:n0057.sg01.s01	Velez’s lexical entry for 'Accommodus'	
lexicalEntry:n0058.e01	ontolex:Word			lilaLemma:87148		lexicalSense:n0058.sg01.s01	Velez’s lexical entry for 'Accresco'	
lexicalEntry:n0059.e01	ontolex:Word			lilaLemma:87156		lexicalSense:n0059.sg01.s01, lexicalSense:n0059.sg01.s99	Velez’s lexical entry for 'Accubo'	
lexicalEntry:n0059.e02	ontolex:Word			lilaLemma:87159		lexicalSense:n0059.sg01.s01, lexicalSense:n0059.sg01.s99	Velez’s lexical entry for 'accumbo'	
lexicalEntry:n0060.e01	ontolex:Word			lilaLemma:87166		lexicalSense:n0060.sg01.s01	Velez’s lexical entry for 'Accurro'	
lexicalEntry:n0061.e01	ontolex:Word		Frequentativum ab Accudo, vel (ut alii docent) ex Ad, et causo, seu causor,	lilaLemma:87175		lexicalSense:n0061.sg01.s01	Velez’s lexical entry for 'Accuso'	
lexicalEntry:n0062.e01	ontolex:Word			lilaLemma:87182		lexicalSense:n0062.sg01.s01	Velez’s lexical entry for 'Acer'	
lexicalEntry:n0063.e01	ontolex:Word			lilaLemma:87184		lexicalSense:n0063.sg01.s01, lexicalSense:n0063.sg01.s99	Velez’s lexical entry for 'Acer'	
lexicalEntry:n0064.e01	ontolex:Word			lilaLemma:87191		lexicalSense:n0064.sg01.s01	Velez’s lexical entry for 'Acerbus'	
lexicalEntry:n0065.e01	ontolex:Word			lilaLemma:617		lexicalSense:n0065.sg01.s01	Velez’s lexical entry for 'Acheron'	
lexicalEntry:n0066.e01	ontolex:Word			lilaLemma:855		lexicalSense:n0066.sg01.s01	Velez’s lexical entry for 'Achilleis'	
lexicalEntry:n0067.e01	ontolex:Word			lilaLemma:888		lexicalSense:n0067.sg01.s01, lexicalSense:n0067.sg01.s02, lexicalSense:n0067.sg01.s03, lexicalSense:n0067.sg01.s04, lexicalSense:n0067.sg01.s05	Velez’s lexical entry for 'Achilles'	
lexicalEntry:n0067.e02	ontolex:Word			lilaLemma:899		lexicalSense:n0067.sg01.s01, lexicalSense:n0067.sg01.s02, lexicalSense:n0067.sg01.s03, lexicalSense:n0067.sg01.s04, lexicalSense:n0067.sg01.s05	Velez’s lexical entry for 'Achilleus'	
lexicalEntry:n0068.e01	ontolex:Word		Patr. mascul.	lilaLemma:912		lexicalSense:n0068.sg01.s01	Velez’s lexical entry for 'Achillides'	
lexicalEntry:n0069.e01	ontolex:Word			lilaLemma:87229		lexicalSense:n0069.sg01.s01, lexicalSense:n0069.sg01.s99	Velez’s lexical entry for 'Acidus'	
lexicalEntry:n0070.e01	ontolex:Word			lilaLemma:87232		lexicalSense:n0070.sg01.s01	Velez’s lexical entry for 'Acinaces'	
lexicalEntry:n0071.e01	ontolex:Word			lilaLemma:87238		lexicalSense:n0071.sg01.s01	Velez’s lexical entry for 'Acinus'	
lexicalEntry:n0071.e02	ontolex:Word			lilaLemma:87239		lexicalSense:n0071.sg01.s01	Velez’s lexical entry for 'acinum'	
lexicalEntry:n0072.e01	ontolex:Word			lilaLemma:87263		lexicalSense:n0072.sg01.s01	Velez’s lexical entry for 'Acquiesco'	
lexicalEntry:n0073.e01	ontolex:Word			lilaLemma:87264		lexicalSense:n0073.sg01.s01	Velez’s lexical entry for 'Acquiro'	
lexicalEntry:n0074.e01	ontolex:Word			lilaLemma:2027		lexicalSense:n0074.sg01.s01, lexicalSense:n0074.sg01.s02	Velez’s lexical entry for 'Acragas'	
lexicalEntry:n0074.e02	ontolex:Word			lilaLemma:8564		lexicalSense:n0074.sg01.s01, lexicalSense:n0074.sg01.s02	Velez’s lexical entry for 'Agragas'	
lexicalEntry:n0075.e01	ontolex:Word			lilaLemma:2146		lexicalSense:n0075.sg01.s01	Velez’s lexical entry for 'Acrisione'	
lexicalEntry:n0076.e01	ontolex:Word			lilaLemma:2159		lexicalSense:n0076.sg01.s01	Velez’s lexical entry for 'Acrisioniades'	
lexicalEntry:n0077.e01	ontolex:Word		adv.	lilaIpoLemma:427		lexicalSense:n0077.sg01.s01	Velez’s lexical entry for 'Acriter'	
lexicalEntry:n0078.e01	ontolex:Word			lilaLemma:2547		lexicalSense:n0078.sg01.s01	Velez’s lexical entry for 'Actorides'	
lexicalEntry:n0079.e01	ontolex:Word			lilaLemma:87332		lexicalSense:n0079.sg01.s01	Velez’s lexical entry for 'Acus'	
lexicalEntry:n0080.e01	ontolex:Word			lilaLemma:87332		lexicalSense:n0080.sg01.s01	Velez’s lexical entry for 'Acus'	
lexicalEntry:n0081.e01	ontolex:Word			lilaLemma:87333		lexicalSense:n0081.sg01.s01, lexicalSense:n0081.sg01.s99	Velez’s lexical entry for 'Acus'	
lexicalEntry:n0082.e01	ontolex:Word		praepos.	lilaLemma:87344		lexicalSense:n0082.sg01.s01, lexicalSense:n0082.sg01.s02, lexicalSense:n0082.sg01.s03	Velez’s lexical entry for 'Ad'	
lexicalEntry:n0083.e01	ontolex:Word			lilaLemma:87348		lexicalSense:n0083.sg01.s01, lexicalSense:n0083.sg01.s99	Velez’s lexical entry for 'Adaequo'	
lexicalEntry:n0084.e01	ontolex:Word			lilaLemma:87354		lexicalSense:n0084.sg01.s01	Velez’s lexical entry for 'Adagium'	
lexicalEntry:n0084.e02	ontolex:Word			lilaLemma:87353		lexicalSense:n0084.sg01.s01	Velez’s lexical entry for 'adagio'	
lexicalEntry:n0085.e01	ontolex:Word			lilaLemma:2993		lexicalSense:n0085.sg01.s01	Velez’s lexical entry for 'Adam'	
lexicalEntry:n0085.e02	ontolex:Word			lilaLemma:3108		lexicalSense:n0085.sg01.s01	Velez’s lexical entry for 'Adamus'	
lexicalEntry:n0086.e01	ontolex:Word			lilaLemma:87361		lexicalSense:n0086.sg01.s01, lexicalSense:n0086.sg01.s02	Velez’s lexical entry for 'Adamas'	
lexicalEntry:n0087.e01	ontolex:Word			lilaLemma:87393		lexicalSense:n0087.sg01.s01, lexicalSense:n0087.sg01.s02, lexicalSense:n0087.sg01.s99	Velez’s lexical entry for 'Addico'	
lexicalEntry:n0088.e01	ontolex:Word			lilaLemma:87401		lexicalSense:n0088.sg01.s01, lexicalSense:n0088.sg01.s99	Velez’s lexical entry for 'Addo'	
lexicalEntry:n0089.e01	ontolex:Word		adverb.	lilaLemma:87420		lexicalSense:n0089.sg01.s01, lexicalSense:n0089.sg01.s02, lexicalSense:n0089.sg01.s03	Velez’s lexical entry for 'Adeò'	
lexicalEntry:n0090.e01	ontolex:Word			lilaLemma:87421		lexicalSense:n0090.sg01.s01, lexicalSense:n0090.sg01.s99	Velez’s lexical entry for 'Adeo'	
lexicalEntry:n0091.e01	ontolex:Word			lilaLemma:87422		lexicalSense:n0091.sg01.s01	Velez’s lexical entry for 'Adeps'	
lexicalEntry:n0092.e01	ontolex:Word			lilaLemma:87424		lexicalSense:n0092.sg01.s01	Velez’s lexical entry for 'Adequito'	
lexicalEntry:n0093.e01	ontolex:Word			lilaLemma:87429		lexicalSense:n0093.sg01.s01	Velez’s lexical entry for 'Adhaereo'	
lexicalEntry:n0094.e01	ontolex:Word			lilaLemma:88896		lexicalSense:n0094.sg01.s01	Velez’s lexical entry for 'Adhaeresco'	
lexicalEntry:n0095.e01	ontolex:Word			lilaLemma:87433		lexicalSense:n0095.sg01.s01	Velez’s lexical entry for 'Adhibeo'	
lexicalEntry:n0096.e01	ontolex:Word			lilaLemma:87445		lexicalSense:n0096.sg01.s01	Velez’s lexical entry for 'Adjaceo'	
lexicalEntry:n0097.e01	ontolex:Word			lilaLemma:87453		lexicalSense:n0097.sg01.s01	Velez’s lexical entry for 'Adigo'	
